pair_id,race,age,gender,image_A_index,image_B_index,image_A_age,image_A_gender,image_B_age,image_B_gender,baseline_distance,baseline_is_false_accept,distance_threshold
East_Asian_000000,East_Asian,0-2,Male,6277,399,0-2,Male,0-2,Male,0.8816535,True,1.0
East_Asian_000001,East_Asian,0-2,Male,6277,233,0-2,Male,0-2,Male,0.75424767,True,1.0
East_Asian_000002,East_Asian,0-2,Male,6277,7562,0-2,Male,0-2,Male,1.0445495,False,1.0
East_Asian_000003,East_Asian,0-2,Male,6277,2271,0-2,Male,0-2,Male,0.70869416,True,1.0
East_Asian_000004,East_Asian,0-2,Male,399,233,0-2,Male,0-2,Male,0.60981965,True,1.0
East_Asian_000005,East_Asian,0-2,Male,399,7562,0-2,Male,0-2,Male,0.7700919,True,1.0
East_Asian_000006,East_Asian,0-2,Male,399,2271,0-2,Male,0-2,Male,0.66403866,True,1.0
East_Asian_000007,East_Asian,0-2,Male,233,7562,0-2,Male,0-2,Male,0.8871743,True,1.0
East_Asian_000008,East_Asian,0-2,Male,233,2271,0-2,Male,0-2,Male,0.8248079,True,1.0
East_Asian_000009,East_Asian,0-2,Male,7562,2271,0-2,Male,0-2,Male,0.70480096,True,1.0
East_Asian_000010,East_Asian,0-2,Female,4529,10773,0-2,Female,0-2,Female,0.5001205,True,1.0
East_Asian_000011,East_Asian,0-2,Female,4529,3430,0-2,Female,0-2,Female,0.5052282,True,1.0
East_Asian_000012,East_Asian,0-2,Female,4529,6551,0-2,Female,0-2,Female,0.5446007,True,1.0
East_Asian_000013,East_Asian,0-2,Female,4529,896,0-2,Female,0-2,Female,0.5696782,True,1.0
East_Asian_000014,East_Asian,0-2,Female,10773,3430,0-2,Female,0-2,Female,0.78426194,True,1.0
East_Asian_000015,East_Asian,0-2,Female,10773,6551,0-2,Female,0-2,Female,0.6561773,True,1.0
East_Asian_000016,East_Asian,0-2,Female,10773,896,0-2,Female,0-2,Female,0.5552239,True,1.0
East_Asian_000017,East_Asian,0-2,Female,3430,6551,0-2,Female,0-2,Female,0.5914961,True,1.0
East_Asian_000018,East_Asian,0-2,Female,3430,896,0-2,Female,0-2,Female,0.71752435,True,1.0
East_Asian_000019,East_Asian,0-2,Female,6551,896,0-2,Female,0-2,Female,0.74554676,True,1.0
East_Asian_000020,East_Asian,3-9,Male,1566,8431,3-9,Male,3-9,Male,1.4874861,False,1.0
East_Asian_000021,East_Asian,3-9,Male,1566,398,3-9,Male,3-9,Male,1.1059153,False,1.0
East_Asian_000022,East_Asian,3-9,Male,1566,313,3-9,Male,3-9,Male,0.85773027,True,1.0
