pair_id,race,age,gender,image_A_index,image_B_index,image_A_age,image_A_gender,image_B_age,image_B_gender,baseline_distance,baseline_is_false_accept,distance_threshold
Indian_000000,Indian,0-2,Male,8882,4897,0-2,Male,0-2,Male,0.47568467,True,1.0
Indian_000001,Indian,0-2,Male,8882,484,0-2,Male,0-2,Male,0.7570445,True,1.0
Indian_000002,Indian,0-2,Male,8882,2146,0-2,Male,0-2,Male,0.7215488,True,1.0
Indian_000003,Indian,0-2,Male,8882,9077,0-2,Male,0-2,Male,0.9386797,True,1.0
Indian_000004,Indian,0-2,Male,4897,484,0-2,Male,0-2,Male,0.57306665,True,1.0
Indian_000005,Indian,0-2,Male,4897,2146,0-2,Male,0-2,Male,0.79562294,True,1.0
Indian_000006,Indian,0-2,Male,4897,9077,0-2,Male,0-2,Male,0.61898464,True,1.0
Indian_000007,Indian,0-2,Male,484,2146,0-2,Male,0-2,Male,0.6853492,True,1.0
Indian_000008,Indian,0-2,Male,484,9077,0-2,Male,0-2,Male,0.35446864,True,1.0
Indian_000009,Indian,0-2,Male,2146,9077,0-2,Male,0-2,Male,0.4989487,True,1.0
Indian_000010,Indian,0-2,Female,7479,5328,0-2,Female,0-2,Female,0.43723923,True,1.0
Indian_000011,Indian,0-2,Female,7479,9270,0-2,Female,0-2,Female,0.7343438,True,1.0
Indian_000012,Indian,0-2,Female,7479,9074,0-2,Female,0-2,Female,0.72661644,True,1.0
Indian_000013,Indian,0-2,Female,7479,8290,0-2,Female,0-2,Female,0.58116555,True,1.0
Indian_000014,Indian,0-2,Female,5328,9270,0-2,Female,0-2,Female,0.5526149,True,1.0
Indian_000015,Indian,0-2,Female,5328,9074,0-2,Female,0-2,Female,0.6619017,True,1.0
Indian_000016,Indian,0-2,Female,5328,8290,0-2,Female,0-2,Female,0.828151,True,1.0
Indian_000017,Indian,0-2,Female,9270,9074,0-2,Female,0-2,Female,0.5195763,True,1.0
Indian_000018,Indian,0-2,Female,9270,8290,0-2,Female,0-2,Female,0.9957335,True,1.0
Indian_000019,Indian,0-2,Female,9074,8290,0-2,Female,0-2,Female,0.9954753,True,1.0
Indian_000020,Indian,3-9,Male,9204,6916,3-9,Male,3-9,Male,1.1224265,False,1.0
Indian_000021,Indian,3-9,Male,9204,2201,3-9,Male,3-9,Male,0.81029576,True,1.0
Indian_000022,Indian,3-9,Male,9204,4078,3-9,Male,3-9,Male,0.6631141,True,1.0
Indian_000023,Indian,3-9,Male,9204,2029,3-9,Male,3-9,Male,1.1571813,False,1.0
Indian_000024,Indian,3-9,Male,6916,2201,3-9,Male,3-9,Male,1.2263942,False,1.0
Indian_000025,Indian,3-9,Male,6916,4078,3-9,Male,3-9,Male,1.4349998,False,1.0
Indian_000026,Indian,3-9,Male,6916,2029,3-9,Male,3-9,Male,1.6097941,False,1.0
Indian_000027,Indian,3-9,Male,2201,4078,3-9,Male,3-9,Male,1.2526782,False,1.0
Indian_000028,Indian,3-9,Male,2201,2029,3-9,Male,3-9,Male,0.96261203,True,1.0
Indian_000029,Indian,3-9,Male,4078,2029,3-9,Male,3-9,Male,1.3497732,False,1.0
Indian_000030,Indian,3-9,Female,4216,8816,3-9,Female,3-9,Female,1.09002,False,1.0
Indian_000031,Indian,3-9,Female,4216,8730,3-9,Female,3-9,Female,1.1520082,False,1.0
Indian_000032,Indian,3-9,Female,4216,4361,3-9,Female,3-9,Female,1.462173,False,1.0
Indian_000033,Indian,3-9,Female,4216,9202,3-9,Female,3-9,Female,1.0178185,False,1.0
Indian_000034,Indian,3-9,Female,8816,8730,3-9,Female,3-9,Female,0.9845852,True,1.0
Indian_000035,Indian,3-9,Female,8816,4361,3-9,Female,3-9,Female,1.2417307,False,1.0
Indian_000036,Indian,3-9,Female,8816,9202,3-9,Female,3-9,Female,1.2021087,False,1.0
