race,index,age,gender,false_accepts,total_pairs,fsr,distance_threshold
Middle_Eastern,163,0-2,Male,4,4,1.0,1.0
Middle_Eastern,5568,0-2,Male,4,4,1.0,1.0
Middle_Eastern,3295,0-2,Male,4,4,1.0,1.0
Middle_Eastern,543,0-2,Male,4,4,1.0,1.0
Middle_Eastern,10615,0-2,Male,4,4,1.0,1.0
Middle_Eastern,2022,0-2,Female,1,1,1.0,1.0
Middle_Eastern,6107,0-2,Female,1,1,1.0,1.0
Middle_Eastern,3864,3-9,Male,1,4,0.25,1.0
Middle_Eastern,5906,3-9,Male,0,4,0.0,1.0
Middle_Eastern,3538,3-9,Male,0,4,0.0,1.0
Middle_Eastern,2855,3-9,Male,0,4,0.0,1.0
Middle_Eastern,3994,3-9,Male,1,4,0.25,1.0
Middle_Eastern,4838,3-9,Female,0,4,0.0,1.0
Middle_Eastern,4845,3-9,Female,0,4,0.0,1.0
Middle_Eastern,9368,3-9,Female,0,4,0.0,1.0
Middle_Eastern,3888,3-9,Female,0,4,0.0,1.0
Middle_Eastern,10341,3-9,Female,0,4,0.0,1.0
Middle_Eastern,5192,10-19,Male,2,4,0.5,1.0
Middle_Eastern,2928,10-19,Male,1,4,0.25,1.0
Middle_Eastern,10038,10-19,Male,0,4,0.0,1.0
Middle_Eastern,9638,10-19,Male,1,4,0.25,1.0
Middle_Eastern,3815,10-19,Male,0,4,0.0,1.0
Middle_Eastern,9349,10-19,Female,0,4,0.0,1.0
Middle_Eastern,9104,10-19,Female,1,4,0.25,1.0
Middle_Eastern,3520,10-19,Female,0,4,0.0,1.0
Middle_Eastern,638,10-19,Female,1,4,0.25,1.0
Middle_Eastern,989,10-19,Female,0,4,0.0,1.0
Middle_Eastern,10478,20-29,Male,0,4,0.0,1.0
Middle_Eastern,7771,20-29,Male,0,4,0.0,1.0
Middle_Eastern,5726,20-29,Male,0,4,0.0,1.0
Middle_Eastern,700,20-29,Male,0,4,0.0,1.0
Middle_Eastern,278,20-29,Male,0,4,0.0,1.0
Middle_Eastern,6226,20-29,Female,0,4,0.0,1.0
Middle_Eastern,2771,20-29,Female,0,4,0.0,1.0
Middle_Eastern,5167,20-29,Female,0,4,0.0,1.0
Middle_Eastern,3489,20-29,Female,0,4,0.0,1.0
Middle_Eastern,8523,20-29,Female,0,4,0.0,1.0
Middle_Eastern,6682,30-39,Male,0,4,0.0,1.0
Middle_Eastern,8372,30-39,Male,0,4,0.0,1.0
Middle_Eastern,4980,30-39,Male,1,4,0.25,1.0
Middle_Eastern,6805,30-39,Male,0,4,0.0,1.0
Middle_Eastern,159,30-39,Male,1,4,0.25,1.0
Middle_Eastern,2850,30-39,Female,0,4,0.0,1.0
Middle_Eastern,1492,30-39,Female,0,4,0.0,1.0
Middle_Eastern,3650,30-39,Female,0,4,0.0,1.0
Middle_Eastern,10543,30-39,Female,0,4,0.0,1.0
Middle_Eastern,793,30-39,Female,0,4,0.0,1.0
Middle_Eastern,7288,40-49,Male,0,4,0.0,1.0
Middle_Eastern,10696,40-49,Male,0,4,0.0,1.0
Middle_Eastern,10092,40-49,Male,0,4,0.0,1.0
Middle_Eastern,3694,40-49,Male,0,4,0.0,1.0
Middle_Eastern,8225,40-49,Male,0,4,0.0,1.0
Middle_Eastern,790,40-49,Female,0,4,0.0,1.0
Middle_Eastern,256,40-49,Female,1,4,0.25,1.0
Middle_Eastern,2991,40-49,Female,1,4,0.25,1.0
Middle_Eastern,5316,40-49,Female,0,4,0.0,1.0
Middle_Eastern,4434,40-49,Female,0,4,0.0,1.0
Middle_Eastern,3005,50-59,Male,0,4,0.0,1.0
Middle_Eastern,3341,50-59,Male,0,4,0.0,1.0
Middle_Eastern,1295,50-59,Male,0,4,0.0,1.0
Middle_Eastern,5722,50-59,Male,0,4,0.0,1.0
Middle_Eastern,9524,50-59,Male,0,4,0.0,1.0
Middle_Eastern,6002,50-59,Female,0,4,0.0,1.0
Middle_Eastern,8177,50-59,Female,0,4,0.0,1.0
Middle_Eastern,1690,50-59,Female,0,4,0.0,1.0
Middle_Eastern,3432,50-59,Female,0,4,0.0,1.0
Middle_Eastern,2915,50-59,Female,0,4,0.0,1.0
Middle_Eastern,2296,60-69,Male,1,4,0.25,1.0
Middle_Eastern,5813,60-69,Male,0,4,0.0,1.0
Middle_Eastern,192,60-69,Male,0,4,0.0,1.0
Middle_Eastern,10879,60-69,Male,0,4,0.0,1.0
Middle_Eastern,5018,60-69,Male,1,4,0.25,1.0
Middle_Eastern,5158,60-69,Female,1,4,0.25,1.0
Middle_Eastern,4081,60-69,Female,0,4,0.0,1.0
Middle_Eastern,2335,60-69,Female,0,4,0.0,1.0
Middle_Eastern,3415,60-69,Female,1,4,0.25,1.0
Middle_Eastern,371,60-69,Female,0,4,0.0,1.0
Middle_Eastern,666,70+,Male,0,4,0.0,1.0
Middle_Eastern,6708,70+,Male,0,4,0.0,1.0
Middle_Eastern,70,70+,Male,1,4,0.25,1.0
Middle_Eastern,8402,70+,Male,0,4,0.0,1.0
Middle_Eastern,2360,70+,Male,1,4,0.25,1.0
Middle_Eastern,5300,70+,Female,0,4,0.0,1.0
Middle_Eastern,4048,70+,Female,0,4,0.0,1.0
Middle_Eastern,10788,70+,Female,1,4,0.25,1.0
Middle_Eastern,4124,70+,Female,1,4,0.25,1.0
Middle_Eastern,6043,70+,Female,0,4,0.0,1.0
