pair_id,race,age,gender,image_A_index,image_B_index,image_A_age,image_A_gender,image_B_age,image_B_gender,baseline_distance,baseline_is_false_accept,distance_threshold
Middle_Eastern_000000,Middle_Eastern,0-2,Male,163,5568,0-2,Male,0-2,Male,0.65459836,True,1.0
Middle_Eastern_000001,Middle_Eastern,0-2,Male,163,3295,0-2,Male,0-2,Male,0.74622524,True,1.0
Middle_Eastern_000002,Middle_Eastern,0-2,Male,163,543,0-2,Male,0-2,Male,0.7725958,True,1.0
Middle_Eastern_000003,Middle_Eastern,0-2,Male,163,10615,0-2,Male,0-2,Male,0.75398684,True,1.0
Middle_Eastern_000004,Middle_Eastern,0-2,Male,5568,3295,0-2,Male,0-2,Male,0.5105548,True,1.0
Middle_Eastern_000005,Middle_Eastern,0-2,Male,5568,543,0-2,Male,0-2,Male,0.4486157,True,1.0
Middle_Eastern_000006,Middle_Eastern,0-2,Male,5568,10615,0-2,Male,0-2,Male,0.5081204,True,1.0
Middle_Eastern_000007,Middle_Eastern,0-2,Male,3295,543,0-2,Male,0-2,Male,0.30120158,True,1.0
Middle_Eastern_000008,Middle_Eastern,0-2,Male,3295,10615,0-2,Male,0-2,Male,0.61613464,True,1.0
Middle_Eastern_000009,Middle_Eastern,0-2,Male,543,10615,0-2,Male,0-2,Male,0.75331306,True,1.0
Middle_Eastern_000010,Middle_Eastern,0-2,Female,2022,6107,0-2,Female,0-2,Female,0.8020107,True,1.0
Middle_Eastern_000011,Middle_Eastern,3-9,Male,3864,5906,3-9,Male,3-9,Male,1.5502999,False,1.0
Middle_Eastern_000012,Middle_Eastern,3-9,Male,3864,3538,3-9,Male,3-9,Male,1.7536492,False,1.0
Middle_Eastern_000013,Middle_Eastern,3-9,Male,3864,2855,3-9,Male,3-9,Male,1.5726651,False,1.0
Middle_Eastern_000014,Middle_Eastern,3-9,Male,3864,3994,3-9,Male,3-9,Male,0.77662504,True,1.0
Middle_Eastern_000015,Middle_Eastern,3-9,Male,5906,3538,3-9,Male,3-9,Male,1.8493552,False,1.0
Middle_Eastern_000016,Middle_Eastern,3-9,Male,5906,2855,3-9,Male,3-9,Male,1.6558738,False,1.0
Middle_Eastern_000017,Middle_Eastern,3-9,Male,5906,3994,3-9,Male,3-9,Male,1.2784915,False,1.0
Middle_Eastern_000018,Middle_Eastern,3-9,Male,3538,2855,3-9,Male,3-9,Male,1.9553423,False,1.0
Middle_Eastern_000019,Middle_Eastern,3-9,Male,3538,3994,3-9,Male,3-9,Male,2.173819,False,1.0
Middle_Eastern_000020,Middle_Eastern,3-9,Male,2855,3994,3-9,Male,3-9,Male,1.5359159,False,1.0
Middle_Eastern_000021,Middle_Eastern,3-9,Female,4838,4845,3-9,Female,3-9,Female,1.7820375,False,1.0
Middle_Eastern_000022,Middle_Eastern,3-9,Female,4838,9368,3-9,Female,3-9,Female,1.2819004,False,1.0
Middle_Eastern_000023,Middle_Eastern,3-9,Female,4838,3888,3-9,Female,3-9,Female,1.067733,False,1.0
Middle_Eastern_000024,Middle_Eastern,3-9,Female,4838,10341,3-9,Female,3-9,Female,1.4588933,False,1.0
Middle_Eastern_000025,Middle_Eastern,3-9,Female,4845,9368,3-9,Female,3-9,Female,1.6728873,False,1.0
Middle_Eastern_000026,Middle_Eastern,3-9,Female,4845,3888,3-9,Female,3-9,Female,1.5214336,False,1.0
Middle_Eastern_000027,Middle_Eastern,3-9,Female,4845,10341,3-9,Female,3-9,Female,1.8383169,False,1.0
Middle_Eastern_000028,Middle_Eastern,3-9,Female,9368,3888,3-9,Female,3-9,Female,1.1986141,False,1.0
Middle_Eastern_000029,Middle_Eastern,3-9,Female,9368,10341,3-9,Female,3-9,Female,1.4801329,False,1.0
Middle_Eastern_000030,Middle_Eastern,3-9,Female,3888,10341,3-9,Female,3-9,Female,1.7412362,False,1.0
Middle_Eastern_000031,Middle_Eastern,10-19,Male,5192,2928,10-19,Male,10-19,Male,0.83052796,True,1.0
Middle_Eastern_000032,Middle_Eastern,10-19,Male,5192,10038,10-19,Male,10-19,Male,1.7725623,False,1.0
Middle_Eastern_000033,Middle_Eastern,10-19,Male,5192,9638,10-19,Male,10-19,Male,0.9485416,True,1.0
Middle_Eastern_000034,Middle_Eastern,10-19,Male,5192,3815,10-19,Male,10-19,Male,1.6635859,False,1.0
Middle_Eastern_000035,Middle_Eastern,10-19,Male,2928,10038,10-19,Male,10-19,Male,1.4671438,False,1.0
Middle_Eastern_000036,Middle_Eastern,10-19,Male,2928,9638,10-19,Male,10-19,Male,1.1667709,False,1.0
Middle_Eastern_000037,Middle_Eastern,10-19,Male,2928,3815,10-19,Male,10-19,Male,1.8723565,False,1.0
Middle_Eastern_000038,Middle_Eastern,10-19,Male,10038,9638,10-19,Male,10-19,Male,1.1812779,False,1.0
Middle_Eastern_000039,Middle_Eastern,10-19,Male,10038,3815,10-19,Male,10-19,Male,1.3622828,False,1.0
Middle_Eastern_000040,Middle_Eastern,10-19,Male,9638,3815,10-19,Male,10-19,Male,1.4388173,False,1.0
Middle_Eastern_000041,Middle_Eastern,10-19,Female,9349,9104,10-19,Female,10-19,Female,1.8876511,False,1.0
Middle_Eastern_000042,Middle_Eastern,10-19,Female,9349,3520,10-19,Female,10-19,Female,1.8926519,False,1.0
Middle_Eastern_000043,Middle_Eastern,10-19,Female,9349,638,10-19,Female,10-19,Female,1.8043041,False,1.0
Middle_Eastern_000044,Middle_Eastern,10-19,Female,9349,989,10-19,Female,10-19,Female,2.2698708,False,1.0
Middle_Eastern_000045,Middle_Eastern,10-19,Female,9104,3520,10-19,Female,10-19,Female,1.0488691,False,1.0
Middle_Eastern_000046,Middle_Eastern,10-19,Female,9104,638,10-19,Female,10-19,Female,0.96039563,True,1.0
Middle_Eastern_000047,Middle_Eastern,10-19,Female,9104,989,10-19,Female,10-19,Female,1.299363,False,1.0
Middle_Eastern_000048,Middle_Eastern,10-19,Female,3520,638,10-19,Female,10-19,Female,1.3295934,False,1.0
Middle_Eastern_000049,Middle_Eastern,10-19,Female,3520,989,10-19,Female,10-19,Female,1.4676746,False,1.0
Middle_Eastern_000050,Middle_Eastern,10-19,Female,638,989,10-19,Female,10-19,Female,1.4609663,False,1.0
Middle_Eastern_000051,Middle_Eastern,20-29,Male,10478,7771,20-29,Male,20-29,Male,1.5514841,False,1.0
Middle_Eastern_000052,Middle_Eastern,20-29,Male,10478,5726,20-29,Male,20-29,Male,1.069315,False,1.0
Middle_Eastern_000053,Middle_Eastern,20-29,Male,10478,700,20-29,Male,20-29,Male,1.6299899,False,1.0
Middle_Eastern_000054,Middle_Eastern,20-29,Male,10478,278,20-29,Male,20-29,Male,1.8440409,False,1.0
Middle_Eastern_000055,Middle_Eastern,20-29,Male,7771,5726,20-29,Male,20-29,Male,1.637397,False,1.0
Middle_Eastern_000056,Middle_Eastern,20-29,Male,7771,700,20-29,Male,20-29,Male,1.7197292,False,1.0
Middle_Eastern_000057,Middle_Eastern,20-29,Male,7771,278,20-29,Male,20-29,Male,2.2336469,False,1.0
Middle_Eastern_000058,Middle_Eastern,20-29,Male,5726,700,20-29,Male,20-29,Male,1.7701265,False,1.0
Middle_Eastern_000059,Middle_Eastern,20-29,Male,5726,278,20-29,Male,20-29,Male,1.936945,False,1.0
Middle_Eastern_000060,Middle_Eastern,20-29,Male,700,278,20-29,Male,20-29,Male,2.6378899,False,1.0
Middle_Eastern_000061,Middle_Eastern,20-29,Female,6226,2771,20-29,Female,20-29,Female,2.0302558,False,1.0
Middle_Eastern_000062,Middle_Eastern,20-29,Female,6226,5167,20-29,Female,20-29,Female,1.7417691,False,1.0
Middle_Eastern_000063,Middle_Eastern,20-29,Female,6226,3489,20-29,Female,20-29,Female,1.3809735,False,1.0
Middle_Eastern_000064,Middle_Eastern,20-29,Female,6226,8523,20-29,Female,20-29,Female,2.1364481,False,1.0
Middle_Eastern_000065,Middle_Eastern,20-29,Female,2771,5167,20-29,Female,20-29,Female,2.3657322,False,1.0
Middle_Eastern_000066,Middle_Eastern,20-29,Female,2771,3489,20-29,Female,20-29,Female,2.3863754,False,1.0
Middle_Eastern_000067,Middle_Eastern,20-29,Female,2771,8523,20-29,Female,20-29,Female,1.9504218,False,1.0
Middle_Eastern_000068,Middle_Eastern,20-29,Female,5167,3489,20-29,Female,20-29,Female,2.1139607,False,1.0
Middle_Eastern_000069,Middle_Eastern,20-29,Female,5167,8523,20-29,Female,20-29,Female,1.8385493,False,1.0
Middle_Eastern_000070,Middle_Eastern,20-29,Female,3489,8523,20-29,Female,20-29,Female,2.1253386,False,1.0
Middle_Eastern_000071,Middle_Eastern,30-39,Male,6682,8372,30-39,Male,30-39,Male,1.6175716,False,1.0
Middle_Eastern_000072,Middle_Eastern,30-39,Male,6682,4980,30-39,Male,30-39,Male,1.2495072,False,1.0
Middle_Eastern_000073,Middle_Eastern,30-39,Male,6682,6805,30-39,Male,30-39,Male,1.8315427,False,1.0
Middle_Eastern_000074,Middle_Eastern,30-39,Male,6682,159,30-39,Male,30-39,Male,1.5000167,False,1.0
Middle_Eastern_000075,Middle_Eastern,30-39,Male,8372,4980,30-39,Male,30-39,Male,1.4133903,False,1.0
Middle_Eastern_000076,Middle_Eastern,30-39,Male,8372,6805,30-39,Male,30-39,Male,2.141379,False,1.0
Middle_Eastern_000077,Middle_Eastern,30-39,Male,8372,159,30-39,Male,30-39,Male,1.1503829,False,1.0
Middle_Eastern_000078,Middle_Eastern,30-39,Male,4980,6805,30-39,Male,30-39,Male,1.7365197,False,1.0
Middle_Eastern_000079,Middle_Eastern,30-39,Male,4980,159,30-39,Male,30-39,Male,0.979977,True,1.0
Middle_Eastern_000080,Middle_Eastern,30-39,Male,6805,159,30-39,Male,30-39,Male,2.043211,False,1.0
Middle_Eastern_000081,Middle_Eastern,30-39,Female,2850,1492,30-39,Female,30-39,Female,1.8184727,False,1.0
Middle_Eastern_000082,Middle_Eastern,30-39,Female,2850,3650,30-39,Female,30-39,Female,1.8331516,False,1.0
Middle_Eastern_000083,Middle_Eastern,30-39,Female,2850,10543,30-39,Female,30-39,Female,1.8089013,False,1.0
Middle_Eastern_000084,Middle_Eastern,30-39,Female,2850,793,30-39,Female,30-39,Female,1.8523322,False,1.0
Middle_Eastern_000085,Middle_Eastern,30-39,Female,1492,3650,30-39,Female,30-39,Female,1.753237,False,1.0
Middle_Eastern_000086,Middle_Eastern,30-39,Female,1492,10543,30-39,Female,30-39,Female,1.8624637,False,1.0
Middle_Eastern_000087,Middle_Eastern,30-39,Female,1492,793,30-39,Female,30-39,Female,1.550025,False,1.0
Middle_Eastern_000088,Middle_Eastern,30-39,Female,3650,10543,30-39,Female,30-39,Female,1.3015646,False,1.0
Middle_Eastern_000089,Middle_Eastern,30-39,Female,3650,793,30-39,Female,30-39,Female,1.8380767,False,1.0
Middle_Eastern_000090,Middle_Eastern,30-39,Female,10543,793,30-39,Female,30-39,Female,2.3297596,False,1.0
Middle_Eastern_000091,Middle_Eastern,40-49,Male,7288,10696,40-49,Male,40-49,Male,1.9796216,False,1.0
Middle_Eastern_000092,Middle_Eastern,40-49,Male,7288,10092,40-49,Male,40-49,Male,1.2614272,False,1.0
Middle_Eastern_000093,Middle_Eastern,40-49,Male,7288,3694,40-49,Male,40-49,Male,1.9394479,False,1.0
Middle_Eastern_000094,Middle_Eastern,40-49,Male,7288,8225,40-49,Male,40-49,Male,1.652497,False,1.0
Middle_Eastern_000095,Middle_Eastern,40-49,Male,10696,10092,40-49,Male,40-49,Male,1.4089167,False,1.0
Middle_Eastern_000096,Middle_Eastern,40-49,Male,10696,3694,40-49,Male,40-49,Male,1.5630013,False,1.0
Middle_Eastern_000097,Middle_Eastern,40-49,Male,10696,8225,40-49,Male,40-49,Male,1.8168951,False,1.0
Middle_Eastern_000098,Middle_Eastern,40-49,Male,10092,3694,40-49,Male,40-49,Male,1.4397413,False,1.0
Middle_Eastern_000099,Middle_Eastern,40-49,Male,10092,8225,40-49,Male,40-49,Male,1.9254785,False,1.0
Middle_Eastern_000100,Middle_Eastern,40-49,Male,3694,8225,40-49,Male,40-49,Male,1.4564273,False,1.0
Middle_Eastern_000101,Middle_Eastern,40-49,Female,790,256,40-49,Female,40-49,Female,1.3637831,False,1.0
Middle_Eastern_000102,Middle_Eastern,40-49,Female,790,2991,40-49,Female,40-49,Female,1.3015466,False,1.0
Middle_Eastern_000103,Middle_Eastern,40-49,Female,790,5316,40-49,Female,40-49,Female,2.0506227,False,1.0
Middle_Eastern_000104,Middle_Eastern,40-49,Female,790,4434,40-49,Female,40-49,Female,1.3386188,False,1.0
Middle_Eastern_000105,Middle_Eastern,40-49,Female,256,2991,40-49,Female,40-49,Female,0.98170054,True,1.0
Middle_Eastern_000106,Middle_Eastern,40-49,Female,256,5316,40-49,Female,40-49,Female,1.7602655,False,1.0
Middle_Eastern_000107,Middle_Eastern,40-49,Female,256,4434,40-49,Female,40-49,Female,1.381787,False,1.0
Middle_Eastern_000108,Middle_Eastern,40-49,Female,2991,5316,40-49,Female,40-49,Female,1.4443705,False,1.0
Middle_Eastern_000109,Middle_Eastern,40-49,Female,2991,4434,40-49,Female,40-49,Female,1.3237078,False,1.0
Middle_Eastern_000110,Middle_Eastern,40-49,Female,5316,4434,40-49,Female,40-49,Female,1.3380663,False,1.0
Middle_Eastern_000111,Middle_Eastern,50-59,Male,3005,3341,50-59,Male,50-59,Male,1.2065768,False,1.0
Middle_Eastern_000112,Middle_Eastern,50-59,Male,3005,1295,50-59,Male,50-59,Male,1.7249184,False,1.0
Middle_Eastern_000113,Middle_Eastern,50-59,Male,3005,5722,50-59,Male,50-59,Male,1.7019855,False,1.0
Middle_Eastern_000114,Middle_Eastern,50-59,Male,3005,9524,50-59,Male,50-59,Male,1.4941006,False,1.0
Middle_Eastern_000115,Middle_Eastern,50-59,Male,3341,1295,50-59,Male,50-59,Male,1.4295245,False,1.0
Middle_Eastern_000116,Middle_Eastern,50-59,Male,3341,5722,50-59,Male,50-59,Male,1.7887781,False,1.0
Middle_Eastern_000117,Middle_Eastern,50-59,Male,3341,9524,50-59,Male,50-59,Male,1.6463432,False,1.0
Middle_Eastern_000118,Middle_Eastern,50-59,Male,1295,5722,50-59,Male,50-59,Male,2.0750387,False,1.0
Middle_Eastern_000119,Middle_Eastern,50-59,Male,1295,9524,50-59,Male,50-59,Male,1.5137324,False,1.0
Middle_Eastern_000120,Middle_Eastern,50-59,Male,5722,9524,50-59,Male,50-59,Male,1.5658908,False,1.0
Middle_Eastern_000121,Middle_Eastern,50-59,Female,6002,8177,50-59,Female,50-59,Female,1.7389641,False,1.0
Middle_Eastern_000122,Middle_Eastern,50-59,Female,6002,1690,50-59,Female,50-59,Female,2.1768525,False,1.0
Middle_Eastern_000123,Middle_Eastern,50-59,Female,6002,3432,50-59,Female,50-59,Female,1.7304391,False,1.0
Middle_Eastern_000124,Middle_Eastern,50-59,Female,6002,2915,50-59,Female,50-59,Female,1.4067464,False,1.0
Middle_Eastern_000125,Middle_Eastern,50-59,Female,8177,1690,50-59,Female,50-59,Female,1.7447257,False,1.0
Middle_Eastern_000126,Middle_Eastern,50-59,Female,8177,3432,50-59,Female,50-59,Female,2.2026799,False,1.0
Middle_Eastern_000127,Middle_Eastern,50-59,Female,8177,2915,50-59,Female,50-59,Female,1.356564,False,1.0
Middle_Eastern_000128,Middle_Eastern,50-59,Female,1690,3432,50-59,Female,50-59,Female,2.3051581,False,1.0
Middle_Eastern_000129,Middle_Eastern,50-59,Female,1690,2915,50-59,Female,50-59,Female,2.1955986,False,1.0
Middle_Eastern_000130,Middle_Eastern,50-59,Female,3432,2915,50-59,Female,50-59,Female,1.8796304,False,1.0
Middle_Eastern_000131,Middle_Eastern,60-69,Male,2296,5813,60-69,Male,60-69,Male,1.870383,False,1.0
Middle_Eastern_000132,Middle_Eastern,60-69,Male,2296,192,60-69,Male,60-69,Male,1.6521116,False,1.0
Middle_Eastern_000133,Middle_Eastern,60-69,Male,2296,10879,60-69,Male,60-69,Male,1.2510931,False,1.0
Middle_Eastern_000134,Middle_Eastern,60-69,Male,2296,5018,60-69,Male,60-69,Male,0.9842208,True,1.0
Middle_Eastern_000135,Middle_Eastern,60-69,Male,5813,192,60-69,Male,60-69,Male,1.5498585,False,1.0
Middle_Eastern_000136,Middle_Eastern,60-69,Male,5813,10879,60-69,Male,60-69,Male,1.6009908,False,1.0
Middle_Eastern_000137,Middle_Eastern,60-69,Male,5813,5018,60-69,Male,60-69,Male,1.7927337,False,1.0
Middle_Eastern_000138,Middle_Eastern,60-69,Male,192,10879,60-69,Male,60-69,Male,1.6218562,False,1.0
Middle_Eastern_000139,Middle_Eastern,60-69,Male,192,5018,60-69,Male,60-69,Male,1.2549231,False,1.0
Middle_Eastern_000140,Middle_Eastern,60-69,Male,10879,5018,60-69,Male,60-69,Male,1.4696498,False,1.0
Middle_Eastern_000141,Middle_Eastern,60-69,Female,5158,4081,60-69,Female,60-69,Female,1.7844886,False,1.0
Middle_Eastern_000142,Middle_Eastern,60-69,Female,5158,2335,60-69,Female,60-69,Female,1.4829166,False,1.0
Middle_Eastern_000143,Middle_Eastern,60-69,Female,5158,3415,60-69,Female,60-69,Female,0.99269414,True,1.0
Middle_Eastern_000144,Middle_Eastern,60-69,Female,5158,371,60-69,Female,60-69,Female,1.6561766,False,1.0
Middle_Eastern_000145,Middle_Eastern,60-69,Female,4081,2335,60-69,Female,60-69,Female,1.802292,False,1.0
Middle_Eastern_000146,Middle_Eastern,60-69,Female,4081,3415,60-69,Female,60-69,Female,1.411241,False,1.0
Middle_Eastern_000147,Middle_Eastern,60-69,Female,4081,371,60-69,Female,60-69,Female,1.3613877,False,1.0
