pair_id,race,age,gender,image_A_index,image_B_index,image_A_age,image_A_gender,image_B_age,image_B_gender,baseline_distance,baseline_is_false_accept,distance_threshold
White_000000,White,0-2,Male,10855,44,0-2,Male,0-2,Male,0.79520446,True,1.0
White_000001,White,0-2,Male,10855,794,0-2,Male,0-2,Male,0.8980573,True,1.0
White_000002,White,0-2,Male,10855,10651,0-2,Male,0-2,Male,1.1408485,False,1.0
White_000003,White,0-2,Male,10855,2851,0-2,Male,0-2,Male,0.9103726,True,1.0
White_000004,White,0-2,Male,44,794,0-2,Male,0-2,Male,0.5654909,True,1.0
White_000005,White,0-2,Male,44,10651,0-2,Male,0-2,Male,1.0021353,False,1.0
White_000006,White,0-2,Male,44,2851,0-2,Male,0-2,Male,0.90413404,True,1.0
White_000007,White,0-2,Male,794,10651,0-2,Male,0-2,Male,0.7337569,True,1.0
White_000008,White,0-2,Male,794,2851,0-2,Male,0-2,Male,0.71493113,True,1.0
White_000009,White,0-2,Male,10651,2851,0-2,Male,0-2,Male,0.7493514,True,1.0
White_000010,White,0-2,Female,2334,6617,0-2,Female,0-2,Female,0.75828683,True,1.0
White_000011,White,0-2,Female,2334,3392,0-2,Female,0-2,Female,0.6712382,True,1.0
White_000012,White,0-2,Female,2334,8176,0-2,Female,0-2,Female,1.4846683,False,1.0
White_000013,White,0-2,Female,2334,2103,0-2,Female,0-2,Female,0.69321,True,1.0
White_000014,White,0-2,Female,6617,3392,0-2,Female,0-2,Female,0.7954598,True,1.0
White_000015,White,0-2,Female,6617,8176,0-2,Female,0-2,Female,1.4525969,False,1.0
White_000016,White,0-2,Female,6617,2103,0-2,Female,0-2,Female,0.86273086,True,1.0
White_000017,White,0-2,Female,3392,8176,0-2,Female,0-2,Female,1.2082869,False,1.0
White_000018,White,0-2,Female,3392,2103,0-2,Female,0-2,Female,0.8269519,True,1.0
White_000019,White,0-2,Female,8176,2103,0-2,Female,0-2,Female,1.8167162,False,1.0
White_000020,White,3-9,Male,6543,1016,3-9,Male,3-9,Male,0.8407254,True,1.0
White_000021,White,3-9,Male,6543,3050,3-9,Male,3-9,Male,1.1131678,False,1.0
White_000022,White,3-9,Male,6543,6330,3-9,Male,3-9,Male,1.484992,False,1.0
White_000023,White,3-9,Male,6543,476,3-9,Male,3-9,Male,1.3457835,False,1.0
White_000024,White,3-9,Male,1016,3050,3-9,Male,3-9,Male,1.4249982,False,1.0
White_000025,White,3-9,Male,1016,6330,3-9,Male,3-9,Male,1.2321353,False,1.0
White_000026,White,3-9,Male,1016,476,3-9,Male,3-9,Male,1.2594184,False,1.0
White_000027,White,3-9,Male,3050,6330,3-9,Male,3-9,Male,1.3484517,False,1.0
White_000028,White,3-9,Male,3050,476,3-9,Male,3-9,Male,1.1775371,False,1.0
White_000029,White,3-9,Male,6330,476,3-9,Male,3-9,Male,1.6714878,False,1.0
White_000030,White,3-9,Female,4904,3444,3-9,Female,3-9,Female,1.1036993,False,1.0
White_000031,White,3-9,Female,4904,6349,3-9,Female,3-9,Female,1.073088,False,1.0
White_000032,White,3-9,Female,4904,3901,3-9,Female,3-9,Female,1.7452714,False,1.0
White_000033,White,3-9,Female,4904,5779,3-9,Female,3-9,Female,1.3184638,False,1.0
White_000034,White,3-9,Female,3444,6349,3-9,Female,3-9,Female,1.4643363,False,1.0
White_000035,White,3-9,Female,3444,3901,3-9,Female,3-9,Female,1.6399837,False,1.0
White_000036,White,3-9,Female,3444,5779,3-9,Female,3-9,Female,1.4251251,False,1.0
White_000037,White,3-9,Female,6349,3901,3-9,Female,3-9,Female,1.4466791,False,1.0
White_000038,White,3-9,Female,6349,5779,3-9,Female,3-9,Female,1.1452432,False,1.0
White_000039,White,3-9,Female,3901,5779,3-9,Female,3-9,Female,1.4076686,False,1.0
White_000040,White,10-19,Male,10239,8837,10-19,Male,10-19,Male,1.8280357,False,1.0
White_000041,White,10-19,Male,10239,2460,10-19,Male,10-19,Male,1.5830588,False,1.0
White_000042,White,10-19,Male,10239,3066,10-19,Male,10-19,Male,1.7111719,False,1.0
White_000043,White,10-19,Male,10239,5439,10-19,Male,10-19,Male,1.3893254,False,1.0
White_000044,White,10-19,Male,8837,2460,10-19,Male,10-19,Male,1.5224264,False,1.0
White_000045,White,10-19,Male,8837,3066,10-19,Male,10-19,Male,1.8993881,False,1.0
White_000046,White,10-19,Male,8837,5439,10-19,Male,10-19,Male,2.0746675,False,1.0
White_000047,White,10-19,Male,2460,3066,10-19,Male,10-19,Male,1.6460643,False,1.0
White_000048,White,10-19,Male,2460,5439,10-19,Male,10-19,Male,1.9848278,False,1.0
White_000049,White,10-19,Male,3066,5439,10-19,Male,10-19,Male,1.9011661,False,1.0
