race,index,age,gender,false_accepts,total_pairs,fsr,distance_threshold
Black,10209,0-2,Male,4,4,1.0,1.0
Black,1915,0-2,Male,4,4,1.0,1.0
Black,2059,0-2,Male,4,4,1.0,1.0
Black,10326,0-2,Male,4,4,1.0,1.0
Black,7968,0-2,Male,4,4,1.0,1.0
Black,4187,0-2,Female,0,4,0.0,1.0
Black,9317,0-2,Female,1,4,0.25,1.0
Black,2788,0-2,Female,1,4,0.25,1.0
Black,10711,0-2,Female,2,4,0.5,1.0
Black,3312,0-2,Female,0,4,0.0,1.0
Black,3370,3-9,Male,2,4,0.5,1.0
Black,9948,3-9,Male,3,4,0.75,1.0
Black,2967,3-9,Male,0,4,0.0,1.0
Black,5421,3-9,Male,1,4,0.25,1.0
Black,6945,3-9,Male,2,4,0.5,1.0
Black,9589,3-9,Female,0,4,0.0,1.0
Black,9491,3-9,Female,2,4,0.5,1.0
Black,4994,3-9,Female,2,4,0.5,1.0
Black,6395,3-9,Female,0,4,0.0,1.0
Black,7645,3-9,Female,2,4,0.5,1.0
Black,6527,10-19,Male,1,4,0.25,1.0
Black,1586,10-19,Male,0,4,0.0,1.0
Black,3798,10-19,Male,1,4,0.25,1.0
Black,3581,10-19,Male,0,4,0.0,1.0
Black,857,10-19,Male,0,4,0.0,1.0
Black,3009,10-19,Female,1,4,0.25,1.0
Black,166,10-19,Female,0,4,0.0,1.0
Black,6876,10-19,Female,0,4,0.0,1.0
Black,6177,10-19,Female,1,4,0.25,1.0
Black,1897,10-19,Female,2,4,0.5,1.0
Black,8927,20-29,Male,0,4,0.0,1.0
Black,3046,20-29,Male,0,4,0.0,1.0
Black,121,20-29,Male,0,4,0.0,1.0
Black,895,20-29,Male,0,4,0.0,1.0
Black,10566,20-29,Male,0,4,0.0,1.0
Black,7953,20-29,Female,1,4,0.25,1.0
Black,913,20-29,Female,1,4,0.25,1.0
Black,2958,20-29,Female,0,4,0.0,1.0
Black,1019,20-29,Female,0,4,0.0,1.0
Black,495,20-29,Female,0,4,0.0,1.0
Black,4715,30-39,Male,0,4,0.0,1.0
Black,946,30-39,Male,0,4,0.0,1.0
Black,7424,30-39,Male,0,4,0.0,1.0
Black,3319,30-39,Male,0,4,0.0,1.0
Black,3993,30-39,Male,0,4,0.0,1.0
Black,8535,30-39,Female,1,4,0.25,1.0
Black,3535,30-39,Female,0,4,0.0,1.0
Black,9237,30-39,Female,0,4,0.0,1.0
Black,2366,30-39,Female,0,4,0.0,1.0
Black,9834,30-39,Female,1,4,0.25,1.0
Black,7523,40-49,Male,1,4,0.25,1.0
Black,5501,40-49,Male,1,4,0.25,1.0
Black,2837,40-49,Male,0,4,0.0,1.0
Black,10376,40-49,Male,2,4,0.5,1.0
Black,10461,40-49,Male,0,4,0.0,1.0
Black,7307,40-49,Female,0,4,0.0,1.0
Black,4097,40-49,Female,0,4,0.0,1.0
Black,2095,40-49,Female,1,4,0.25,1.0
Black,7563,40-49,Female,0,4,0.0,1.0
Black,6691,40-49,Female,1,4,0.25,1.0
Black,7494,50-59,Male,0,4,0.0,1.0
Black,7000,50-59,Male,0,4,0.0,1.0
Black,7526,50-59,Male,1,4,0.25,1.0
Black,10707,50-59,Male,0,4,0.0,1.0
Black,425,50-59,Male,1,4,0.25,1.0
Black,10817,50-59,Female,0,4,0.0,1.0
Black,10397,50-59,Female,1,4,0.25,1.0
Black,884,50-59,Female,0,4,0.0,1.0
Black,679,50-59,Female,1,4,0.25,1.0
Black,5313,50-59,Female,0,4,0.0,1.0
Black,3086,60-69,Male,0,4,0.0,1.0
Black,60,60-69,Male,0,4,0.0,1.0
Black,2497,60-69,Male,0,4,0.0,1.0
Black,6739,60-69,Male,0,4,0.0,1.0
Black,8440,60-69,Male,0,4,0.0,1.0
Black,10308,60-69,Female,4,4,1.0,1.0
Black,8106,60-69,Female,1,4,0.25,1.0
Black,616,60-69,Female,2,4,0.5,1.0
Black,7994,60-69,Female,2,4,0.5,1.0
Black,1762,60-69,Female,1,4,0.25,1.0
Black,4142,70+,Male,2,4,0.5,1.0
Black,6830,70+,Male,1,4,0.25,1.0
Black,2740,70+,Male,1,4,0.25,1.0
Black,594,70+,Male,0,4,0.0,1.0
Black,7141,70+,Male,2,4,0.5,1.0
Black,9264,70+,Female,0,4,0.0,1.0
Black,5385,70+,Female,3,4,0.75,1.0
Black,1465,70+,Female,2,4,0.5,1.0
Black,482,70+,Female,2,4,0.5,1.0
Black,8138,70+,Female,3,4,0.75,1.0
