pair_id,race,age,gender,image_A_index,image_B_index,image_A_age,image_A_gender,image_B_age,image_B_gender,baseline_distance,baseline_is_false_accept,distance_threshold
Black_000000,Black,0-2,Male,10209,1915,0-2,Male,0-2,Male,0.52075106,True,1.0
Black_000001,Black,0-2,Male,10209,2059,0-2,Male,0-2,Male,0.39963788,True,1.0
Black_000002,Black,0-2,Male,10209,10326,0-2,Male,0-2,Male,0.4476511,True,1.0
Black_000003,Black,0-2,Male,10209,7968,0-2,Male,0-2,Male,0.9552513,True,1.0
Black_000004,Black,0-2,Male,1915,2059,0-2,Male,0-2,Male,0.425576,True,1.0
Black_000005,Black,0-2,Male,1915,10326,0-2,Male,0-2,Male,0.8321946,True,1.0
Black_000006,Black,0-2,Male,1915,7968,0-2,Male,0-2,Male,0.8358822,True,1.0
Black_000007,Black,0-2,Male,2059,10326,0-2,Male,0-2,Male,0.7189008,True,1.0
Black_000008,Black,0-2,Male,2059,7968,0-2,Male,0-2,Male,0.7678706,True,1.0
Black_000009,Black,0-2,Male,10326,7968,0-2,Male,0-2,Male,0.8819895,True,1.0
Black_000010,Black,0-2,Female,4187,9317,0-2,Female,0-2,Female,1.0658274,False,1.0
Black_000011,Black,0-2,Female,4187,2788,0-2,Female,0-2,Female,1.3858683,False,1.0
Black_000012,Black,0-2,Female,4187,10711,0-2,Female,0-2,Female,1.1216692,False,1.0
Black_000013,Black,0-2,Female,4187,3312,0-2,Female,0-2,Female,1.6443119,False,1.0
Black_000014,Black,0-2,Female,9317,2788,0-2,Female,0-2,Female,1.1396213,False,1.0
Black_000015,Black,0-2,Female,9317,10711,0-2,Female,0-2,Female,0.61076295,True,1.0
Black_000016,Black,0-2,Female,9317,3312,0-2,Female,0-2,Female,1.2096915,False,1.0
Black_000017,Black,0-2,Female,2788,10711,0-2,Female,0-2,Female,0.9648701,True,1.0
Black_000018,Black,0-2,Female,2788,3312,0-2,Female,0-2,Female,1.3929921,False,1.0
Black_000019,Black,0-2,Female,10711,3312,0-2,Female,0-2,Female,1.3552892,False,1.0
Black_000020,Black,3-9,Male,3370,9948,3-9,Male,3-9,Male,0.73241657,True,1.0
Black_000021,Black,3-9,Male,3370,2967,3-9,Male,3-9,Male,1.2808571,False,1.0
Black_000022,Black,3-9,Male,3370,5421,3-9,Male,3-9,Male,1.0776886,False,1.0
Black_000023,Black,3-9,Male,3370,6945,3-9,Male,3-9,Male,0.6179155,True,1.0
Black_000024,Black,3-9,Male,9948,2967,3-9,Male,3-9,Male,1.3554289,False,1.0
Black_000025,Black,3-9,Male,9948,5421,3-9,Male,3-9,Male,0.69614357,True,1.0
Black_000026,Black,3-9,Male,9948,6945,3-9,Male,3-9,Male,0.7910843,True,1.0
Black_000027,Black,3-9,Male,2967,5421,3-9,Male,3-9,Male,1.4752247,False,1.0
Black_000028,Black,3-9,Male,2967,6945,3-9,Male,3-9,Male,1.5240496,False,1.0
Black_000029,Black,3-9,Male,5421,6945,3-9,Male,3-9,Male,1.4555006,False,1.0
Black_000030,Black,3-9,Female,9589,9491,3-9,Female,3-9,Female,1.2612228,False,1.0
Black_000031,Black,3-9,Female,9589,4994,3-9,Female,3-9,Female,1.125612,False,1.0
Black_000032,Black,3-9,Female,9589,6395,3-9,Female,3-9,Female,1.2437009,False,1.0
Black_000033,Black,3-9,Female,9589,7645,3-9,Female,3-9,Female,1.2937605,False,1.0
Black_000034,Black,3-9,Female,9491,4994,3-9,Female,3-9,Female,0.77251345,True,1.0
Black_000035,Black,3-9,Female,9491,6395,3-9,Female,3-9,Female,1.1002026,False,1.0
Black_000036,Black,3-9,Female,9491,7645,3-9,Female,3-9,Female,0.8337825,True,1.0
Black_000037,Black,3-9,Female,4994,6395,3-9,Female,3-9,Female,1.0343719,False,1.0
Black_000038,Black,3-9,Female,4994,7645,3-9,Female,3-9,Female,0.83436966,True,1.0
Black_000039,Black,3-9,Female,6395,7645,3-9,Female,3-9,Female,1.2388004,False,1.0
Black_000040,Black,10-19,Male,6527,1586,10-19,Male,10-19,Male,1.0067934,False,1.0
Black_000041,Black,10-19,Male,6527,3798,10-19,Male,10-19,Male,0.8937284,True,1.0
Black_000042,Black,10-19,Male,6527,3581,10-19,Male,10-19,Male,1.3517022,False,1.0
Black_000043,Black,10-19,Male,6527,857,10-19,Male,10-19,Male,1.1480336,False,1.0
Black_000044,Black,10-19,Male,1586,3798,10-19,Male,10-19,Male,1.0178658,False,1.0
Black_000045,Black,10-19,Male,1586,3581,10-19,Male,10-19,Male,1.5817885,False,1.0
Black_000046,Black,10-19,Male,1586,857,10-19,Male,10-19,Male,1.4275103,False,1.0
Black_000047,Black,10-19,Male,3798,3581,10-19,Male,10-19,Male,1.2526704,False,1.0
Black_000048,Black,10-19,Male,3798,857,10-19,Male,10-19,Male,1.573256,False,1.0
Black_000049,Black,10-19,Male,3581,857,10-19,Male,10-19,Male,1.3098803,False,1.0
Black_000050,Black,10-19,Female,3009,166,10-19,Female,10-19,Female,1.4328067,False,1.0
Black_000051,Black,10-19,Female,3009,6876,10-19,Female,10-19,Female,1.5167712,False,1.0
Black_000052,Black,10-19,Female,3009,6177,10-19,Female,10-19,Female,1.5446155,False,1.0
Black_000053,Black,10-19,Female,3009,1897,10-19,Female,10-19,Female,0.9965682,True,1.0
Black_000054,Black,10-19,Female,166,6876,10-19,Female,10-19,Female,1.3305911,False,1.0
Black_000055,Black,10-19,Female,166,6177,10-19,Female,10-19,Female,1.4263515,False,1.0
Black_000056,Black,10-19,Female,166,1897,10-19,Female,10-19,Female,1.260155,False,1.0
Black_000057,Black,10-19,Female,6876,6177,10-19,Female,10-19,Female,1.3982378,False,1.0
Black_000058,Black,10-19,Female,6876,1897,10-19,Female,10-19,Female,1.3795491,False,1.0
Black_000059,Black,10-19,Female,6177,1897,10-19,Female,10-19,Female,0.8511573,True,1.0
Black_000060,Black,20-29,Male,8927,3046,20-29,Male,20-29,Male,1.7489989,False,1.0
Black_000061,Black,20-29,Male,8927,121,20-29,Male,20-29,Male,1.1210694,False,1.0
Black_000062,Black,20-29,Male,8927,895,20-29,Male,20-29,Male,1.3918958,False,1.0
Black_000063,Black,20-29,Male,8927,10566,20-29,Male,20-29,Male,1.3469064,False,1.0
Black_000064,Black,20-29,Male,3046,121,20-29,Male,20-29,Male,1.2798615,False,1.0
Black_000065,Black,20-29,Male,3046,895,20-29,Male,20-29,Male,1.662962,False,1.0
Black_000066,Black,20-29,Male,3046,10566,20-29,Male,20-29,Male,1.091308,False,1.0
Black_000067,Black,20-29,Male,121,895,20-29,Male,20-29,Male,1.4536256,False,1.0
Black_000068,Black,20-29,Male,121,10566,20-29,Male,20-29,Male,1.0242031,False,1.0
Black_000069,Black,20-29,Male,895,10566,20-29,Male,20-29,Male,1.2447407,False,1.0
Black_000070,Black,20-29,Female,7953,913,20-29,Female,20-29,Female,0.90878505,True,1.0
Black_000071,Black,20-29,Female,7953,2958,20-29,Female,20-29,Female,1.113407,False,1.0
Black_000072,Black,20-29,Female,7953,1019,20-29,Female,20-29,Female,1.3685395,False,1.0
Black_000073,Black,20-29,Female,7953,495,20-29,Female,20-29,Female,1.588192,False,1.0
Black_000074,Black,20-29,Female,913,2958,20-29,Female,20-29,Female,1.4733348,False,1.0
Black_000075,Black,20-29,Female,913,1019,20-29,Female,20-29,Female,1.6958928,False,1.0
Black_000076,Black,20-29,Female,913,495,20-29,Female,20-29,Female,1.5663699,False,1.0
Black_000077,Black,20-29,Female,2958,1019,20-29,Female,20-29,Female,1.327354,False,1.0
Black_000078,Black,20-29,Female,2958,495,20-29,Female,20-29,Female,1.6797938,False,1.0
Black_000079,Black,20-29,Female,1019,495,20-29,Female,20-29,Female,1.7156523,False,1.0
Black_000080,Black,30-39,Male,4715,946,30-39,Male,30-39,Male,1.0361412,False,1.0
Black_000081,Black,30-39,Male,4715,7424,30-39,Male,30-39,Male,1.8090029,False,1.0
Black_000082,Black,30-39,Male,4715,3319,30-39,Male,30-39,Male,1.626266,False,1.0
Black_000083,Black,30-39,Male,4715,3993,30-39,Male,30-39,Male,1.802106,False,1.0
Black_000084,Black,30-39,Male,946,7424,30-39,Male,30-39,Male,1.438275,False,1.0
Black_000085,Black,30-39,Male,946,3319,30-39,Male,30-39,Male,1.1139619,False,1.0
Black_000086,Black,30-39,Male,946,3993,30-39,Male,30-39,Male,1.1707249,False,1.0
Black_000087,Black,30-39,Male,7424,3319,30-39,Male,30-39,Male,1.7186751,False,1.0
Black_000088,Black,30-39,Male,7424,3993,30-39,Male,30-39,Male,1.3630674,False,1.0
Black_000089,Black,30-39,Male,3319,3993,30-39,Male,30-39,Male,2.03129,False,1.0
Black_000090,Black,30-39,Female,8535,3535,30-39,Female,30-39,Female,1.4624655,False,1.0
Black_000091,Black,30-39,Female,8535,9237,30-39,Female,30-39,Female,1.3154082,False,1.0
Black_000092,Black,30-39,Female,8535,2366,30-39,Female,30-39,Female,1.8385087,False,1.0
Black_000093,Black,30-39,Female,8535,9834,30-39,Female,30-39,Female,0.9876659,True,1.0
Black_000094,Black,30-39,Female,3535,9237,30-39,Female,30-39,Female,1.9515692,False,1.0
Black_000095,Black,30-39,Female,3535,2366,30-39,Female,30-39,Female,1.2354566,False,1.0
Black_000096,Black,30-39,Female,3535,9834,30-39,Female,30-39,Female,1.5665811,False,1.0
Black_000097,Black,30-39,Female,9237,2366,30-39,Female,30-39,Female,1.5518711,False,1.0
Black_000098,Black,30-39,Female,9237,9834,30-39,Female,30-39,Female,1.7609856,False,1.0
Black_000099,Black,30-39,Female,2366,9834,30-39,Female,30-39,Female,1.3335755,False,1.0
Black_000100,Black,40-49,Male,7523,5501,40-49,Male,40-49,Male,1.5268108,False,1.0
Black_000101,Black,40-49,Male,7523,2837,40-49,Male,40-49,Male,1.5690187,False,1.0
Black_000102,Black,40-49,Male,7523,10376,40-49,Male,40-49,Male,0.96228933,True,1.0
Black_000103,Black,40-49,Male,7523,10461,40-49,Male,40-49,Male,1.8096735,False,1.0
Black_000104,Black,40-49,Male,5501,2837,40-49,Male,40-49,Male,1.4920851,False,1.0
Black_000105,Black,40-49,Male,5501,10376,40-49,Male,40-49,Male,0.9067987,True,1.0
Black_000106,Black,40-49,Male,5501,10461,40-49,Male,40-49,Male,2.2522635,False,1.0
Black_000107,Black,40-49,Male,2837,10376,40-49,Male,40-49,Male,1.0524321,False,1.0
Black_000108,Black,40-49,Male,2837,10461,40-49,Male,40-49,Male,2.5099707,False,1.0
Black_000109,Black,40-49,Male,10376,10461,40-49,Male,40-49,Male,1.9725018,False,1.0
Black_000110,Black,40-49,Female,7307,4097,40-49,Female,40-49,Female,1.5291209,False,1.0
Black_000111,Black,40-49,Female,7307,2095,40-49,Female,40-49,Female,1.3217461,False,1.0
Black_000112,Black,40-49,Female,7307,7563,40-49,Female,40-49,Female,1.5735006,False,1.0
Black_000113,Black,40-49,Female,7307,6691,40-49,Female,40-49,Female,1.3577918,False,1.0
Black_000114,Black,40-49,Female,4097,2095,40-49,Female,40-49,Female,1.0462248,False,1.0
Black_000115,Black,40-49,Female,4097,7563,40-49,Female,40-49,Female,1.3489122,False,1.0
Black_000116,Black,40-49,Female,4097,6691,40-49,Female,40-49,Female,1.1172187,False,1.0
Black_000117,Black,40-49,Female,2095,7563,40-49,Female,40-49,Female,1.2452315,False,1.0
Black_000118,Black,40-49,Female,2095,6691,40-49,Female,40-49,Female,0.8804692,True,1.0
Black_000119,Black,40-49,Female,7563,6691,40-49,Female,40-49,Female,1.0676879,False,1.0
Black_000120,Black,50-59,Male,7494,7000,50-59,Male,50-59,Male,2.2314205,False,1.0
Black_000121,Black,50-59,Male,7494,7526,50-59,Male,50-59,Male,2.1906402,False,1.0
Black_000122,Black,50-59,Male,7494,10707,50-59,Male,50-59,Male,2.043577,False,1.0
Black_000123,Black,50-59,Male,7494,425,50-59,Male,50-59,Male,1.9987268,False,1.0
Black_000124,Black,50-59,Male,7000,7526,50-59,Male,50-59,Male,1.2613025,False,1.0
Black_000125,Black,50-59,Male,7000,10707,50-59,Male,50-59,Male,1.0952106,False,1.0
Black_000126,Black,50-59,Male,7000,425,50-59,Male,50-59,Male,1.0962352,False,1.0
Black_000127,Black,50-59,Male,7526,10707,50-59,Male,50-59,Male,1.3412251,False,1.0
Black_000128,Black,50-59,Male,7526,425,50-59,Male,50-59,Male,0.55359775,True,1.0
Black_000129,Black,50-59,Male,10707,425,50-59,Male,50-59,Male,1.4771105,False,1.0
Black_000130,Black,50-59,Female,10817,10397,50-59,Female,50-59,Female,1.0784051,False,1.0
Black_000131,Black,50-59,Female,10817,884,50-59,Female,50-59,Female,1.6919689,False,1.0
Black_000132,Black,50-59,Female,10817,679,50-59,Female,50-59,Female,1.1881919,False,1.0
Black_000133,Black,50-59,Female,10817,5313,50-59,Female,50-59,Female,1.5135162,False,1.0
Black_000134,Black,50-59,Female,10397,884,50-59,Female,50-59,Female,1.1754911,False,1.0
Black_000135,Black,50-59,Female,10397,679,50-59,Female,50-59,Female,0.8620175,True,1.0
Black_000136,Black,50-59,Female,10397,5313,50-59,Female,50-59,Female,1.3830618,False,1.0
Black_000137,Black,50-59,Female,884,679,50-59,Female,50-59,Female,1.2680746,False,1.0
Black_000138,Black,50-59,Female,884,5313,50-59,Female,50-59,Female,1.3341658,False,1.0
Black_000139,Black,50-59,Female,679,5313,50-59,Female,50-59,Female,1.0818218,False,1.0
Black_000140,Black,60-69,Male,3086,60,60-69,Male,60-69,Male,1.9209441,False,1.0
Black_000141,Black,60-69,Male,3086,2497,60-69,Male,60-69,Male,1.6333545,False,1.0
Black_000142,Black,60-69,Male,3086,6739,60-69,Male,60-69,Male,1.2162647,False,1.0
Black_000143,Black,60-69,Male,3086,8440,60-69,Male,60-69,Male,1.838942,False,1.0
Black_000144,Black,60-69,Male,60,2497,60-69,Male,60-69,Male,1.2905395,False,1.0
Black_000145,Black,60-69,Male,60,6739,60-69,Male,60-69,Male,1.2881935,False,1.0
Black_000146,Black,60-69,Male,60,8440,60-69,Male,60-69,Male,1.3450139,False,1.0
Black_000147,Black,60-69,Male,2497,6739,60-69,Male,60-69,Male,1.37397,False,1.0
Black_000148,Black,60-69,Male,2497,8440,60-69,Male,60-69,Male,1.0059536,False,1.0
Black_000149,Black,60-69,Male,6739,8440,60-69,Male,60-69,Male,1.4698951,False,1.0
Black_000150,Black,60-69,Female,10308,8106,60-69,Female,60-69,Female,0.6481347,True,1.0
Black_000151,Black,60-69,Female,10308,616,60-69,Female,60-69,Female,0.8652302,True,1.0
Black_000152,Black,60-69,Female,10308,7994,60-69,Female,60-69,Female,0.67351866,True,1.0
Black_000153,Black,60-69,Female,10308,1762,60-69,Female,60-69,Female,0.9544462,True,1.0
Black_000154,Black,60-69,Female,8106,616,60-69,Female,60-69,Female,1.0808277,False,1.0
Black_000155,Black,60-69,Female,8106,7994,60-69,Female,60-69,Female,1.072861,False,1.0
Black_000156,Black,60-69,Female,8106,1762,60-69,Female,60-69,Female,1.3819164,False,1.0
Black_000157,Black,60-69,Female,616,7994,60-69,Female,60-69,Female,0.9877888,True,1.0
Black_000158,Black,60-69,Female,616,1762,60-69,Female,60-69,Female,1.2954609,False,1.0
Black_000159,Black,60-69,Female,7994,1762,60-69,Female,60-69,Female,1.1389968,False,1.0
Black_000160,Black,70+,Male,4142,6830,70+,Male,70+,Male,1.2018747,False,1.0
Black_000161,Black,70+,Male,4142,2740,70+,Male,70+,Male,0.7337856,True,1.0
Black_000162,Black,70+,Male,4142,594,70+,Male,70+,Male,1.6970482,False,1.0
Black_000163,Black,70+,Male,4142,7141,70+,Male,70+,Male,0.7913078,True,1.0
Black_000164,Black,70+,Male,6830,2740,70+,Male,70+,Male,1.1987078,False,1.0
Black_000165,Black,70+,Male,6830,594,70+,Male,70+,Male,1.4983429,False,1.0
Black_000166,Black,70+,Male,6830,7141,70+,Male,70+,Male,0.89232266,True,1.0
Black_000167,Black,70+,Male,2740,594,70+,Male,70+,Male,1.5014714,False,1.0
Black_000168,Black,70+,Male,2740,7141,70+,Male,70+,Male,1.0877224,False,1.0
Black_000169,Black,70+,Male,594,7141,70+,Male,70+,Male,1.5912836,False,1.0
Black_000170,Black,70+,Female,9264,5385,70+,Female,70+,Female,1.1870844,False,1.0
Black_000171,Black,70+,Female,9264,1465,70+,Female,70+,Female,1.0741081,False,1.0
Black_000172,Black,70+,Female,9264,482,70+,Female,70+,Female,1.0759594,False,1.0
Black_000173,Black,70+,Female,9264,8138,70+,Female,70+,Female,1.075668,False,1.0
Black_000174,Black,70+,Female,5385,1465,70+,Female,70+,Female,0.91855574,True,1.0
Black_000175,Black,70+,Female,5385,482,70+,Female,70+,Female,0.6238033,True,1.0
Black_000176,Black,70+,Female,5385,8138,70+,Female,70+,Female,0.4868573,True,1.0
Black_000177,Black,70+,Female,1465,482,70+,Female,70+,Female,1.2781734,False,1.0
Black_000178,Black,70+,Female,1465,8138,70+,Female,70+,Female,0.8229573,True,1.0
Black_000179,Black,70+,Female,482,8138,70+,Female,70+,Female,0.8145846,True,1.0
