race,index,age,gender,false_accepts,total_pairs,fsr,distance_threshold
East_Asian,6277,0-2,Male,3,4,0.75,1.0
East_Asian,399,0-2,Male,4,4,1.0,1.0
East_Asian,233,0-2,Male,4,4,1.0,1.0
East_Asian,7562,0-2,Male,3,4,0.75,1.0
East_Asian,2271,0-2,Male,4,4,1.0,1.0
East_Asian,4529,0-2,Female,4,4,1.0,1.0
East_Asian,10773,0-2,Female,4,4,1.0,1.0
East_Asian,3430,0-2,Female,4,4,1.0,1.0
East_Asian,6551,0-2,Female,4,4,1.0,1.0
East_Asian,896,0-2,Female,4,4,1.0,1.0
East_Asian,1566,3-9,Male,1,4,0.25,1.0
East_Asian,8431,3-9,Male,0,4,0.0,1.0
East_Asian,398,3-9,Male,1,4,0.25,1.0
East_Asian,313,3-9,Male,2,4,0.5,1.0
East_Asian,1644,3-9,Male,0,4,0.0,1.0
East_Asian,3475,3-9,Female,3,4,0.75,1.0
East_Asian,3683,3-9,Female,4,4,1.0,1.0
East_Asian,9279,3-9,Female,2,4,0.5,1.0
East_Asian,10177,3-9,Female,2,4,0.5,1.0
East_Asian,571,3-9,Female,3,4,0.75,1.0
East_Asian,3410,10-19,Male,3,4,0.75,1.0
East_Asian,7577,10-19,Male,2,4,0.5,1.0
East_Asian,3845,10-19,Male,1,4,0.25,1.0
East_Asian,8205,10-19,Male,3,4,0.75,1.0
East_Asian,4449,10-19,Male,3,4,0.75,1.0
East_Asian,23,10-19,Female,1,4,0.25,1.0
East_Asian,2209,10-19,Female,1,4,0.25,1.0
East_Asian,7653,10-19,Female,1,4,0.25,1.0
East_Asian,6188,10-19,Female,0,4,0.0,1.0
East_Asian,4814,10-19,Female,1,4,0.25,1.0
East_Asian,3146,20-29,Male,1,4,0.25,1.0
East_Asian,4147,20-29,Male,1,4,0.25,1.0
East_Asian,7046,20-29,Male,1,4,0.25,1.0
East_Asian,2109,20-29,Male,0,4,0.0,1.0
East_Asian,1926,20-29,Male,1,4,0.25,1.0
East_Asian,5855,20-29,Female,0,4,0.0,1.0
East_Asian,1653,20-29,Female,0,4,0.0,1.0
East_Asian,5538,20-29,Female,0,4,0.0,1.0
East_Asian,5244,20-29,Female,0,4,0.0,1.0
East_Asian,8689,20-29,Female,0,4,0.0,1.0
East_Asian,4742,30-39,Male,0,4,0.0,1.0
East_Asian,1011,30-39,Male,2,4,0.5,1.0
East_Asian,9132,30-39,Male,2,4,0.5,1.0
East_Asian,1986,30-39,Male,2,4,0.5,1.0
East_Asian,7114,30-39,Male,0,4,0.0,1.0
East_Asian,1139,30-39,Female,1,4,0.25,1.0
East_Asian,6464,30-39,Female,0,4,0.0,1.0
East_Asian,3405,30-39,Female,0,4,0.0,1.0
East_Asian,9621,30-39,Female,1,4,0.25,1.0
East_Asian,7160,30-39,Female,2,4,0.5,1.0
East_Asian,10756,40-49,Male,1,4,0.25,1.0
East_Asian,7035,40-49,Male,1,4,0.25,1.0
East_Asian,9794,40-49,Male,0,4,0.0,1.0
East_Asian,4034,40-49,Male,0,4,0.0,1.0
East_Asian,1221,40-49,Male,2,4,0.5,1.0
East_Asian,1056,40-49,Female,3,4,0.75,1.0
East_Asian,10014,40-49,Female,2,4,0.5,1.0
East_Asian,2383,40-49,Female,3,4,0.75,1.0
East_Asian,3376,40-49,Female,1,4,0.25,1.0
East_Asian,1491,40-49,Female,1,4,0.25,1.0
East_Asian,3296,50-59,Male,1,4,0.25,1.0
East_Asian,1263,50-59,Male,1,4,0.25,1.0
East_Asian,6372,50-59,Male,0,4,0.0,1.0
East_Asian,4641,50-59,Male,1,4,0.25,1.0
East_Asian,7049,50-59,Male,1,4,0.25,1.0
East_Asian,10921,50-59,Female,1,4,0.25,1.0
East_Asian,6073,50-59,Female,2,4,0.5,1.0
East_Asian,2596,50-59,Female,1,4,0.25,1.0
East_Asian,10677,50-59,Female,0,4,0.0,1.0
East_Asian,9651,50-59,Female,2,4,0.5,1.0
East_Asian,4708,60-69,Male,2,4,0.5,1.0
East_Asian,4971,60-69,Male,1,4,0.25,1.0
East_Asian,1601,60-69,Male,2,4,0.5,1.0
East_Asian,5461,60-69,Male,1,4,0.25,1.0
East_Asian,5476,60-69,Male,2,4,0.5,1.0
East_Asian,2475,60-69,Female,4,4,1.0,1.0
East_Asian,6456,60-69,Female,3,4,0.75,1.0
East_Asian,3105,60-69,Female,4,4,1.0,1.0
East_Asian,9791,60-69,Female,3,4,0.75,1.0
East_Asian,6271,60-69,Female,4,4,1.0,1.0
East_Asian,1749,70+,Male,1,4,0.25,1.0
East_Asian,617,70+,Male,3,4,0.75,1.0
East_Asian,7808,70+,Male,3,4,0.75,1.0
East_Asian,298,70+,Male,3,4,0.75,1.0
East_Asian,9191,70+,Male,2,4,0.5,1.0
East_Asian,3603,70+,Female,3,4,0.75,1.0
East_Asian,10,70+,Female,3,4,0.75,1.0
East_Asian,1146,70+,Female,0,4,0.0,1.0
East_Asian,6508,70+,Female,3,4,0.75,1.0
East_Asian,5337,70+,Female,3,4,0.75,1.0
