race,index,age,gender,false_accepts,total_pairs,fsr,distance_threshold
Indian,8882,0-2,Male,4,4,1.0,1.0
Indian,4897,0-2,Male,4,4,1.0,1.0
Indian,484,0-2,Male,4,4,1.0,1.0
Indian,2146,0-2,Male,4,4,1.0,1.0
Indian,9077,0-2,Male,4,4,1.0,1.0
Indian,7479,0-2,Female,4,4,1.0,1.0
Indian,5328,0-2,Female,4,4,1.0,1.0
Indian,9270,0-2,Female,4,4,1.0,1.0
Indian,9074,0-2,Female,4,4,1.0,1.0
Indian,8290,0-2,Female,4,4,1.0,1.0
Indian,9204,3-9,Male,2,4,0.5,1.0
Indian,6916,3-9,Male,0,4,0.0,1.0
Indian,2201,3-9,Male,2,4,0.5,1.0
Indian,4078,3-9,Male,1,4,0.25,1.0
Indian,2029,3-9,Male,1,4,0.25,1.0
Indian,4216,3-9,Female,0,4,0.0,1.0
Indian,8816,3-9,Female,1,4,0.25,1.0
Indian,8730,3-9,Female,2,4,0.5,1.0
Indian,4361,3-9,Female,1,4,0.25,1.0
Indian,9202,3-9,Female,0,4,0.0,1.0
Indian,7640,10-19,Male,1,4,0.25,1.0
Indian,10222,10-19,Male,1,4,0.25,1.0
Indian,7413,10-19,Male,1,4,0.25,1.0
Indian,7162,10-19,Male,0,4,0.0,1.0
Indian,4343,10-19,Male,1,4,0.25,1.0
Indian,2644,10-19,Female,1,4,0.25,1.0
Indian,6368,10-19,Female,0,4,0.0,1.0
Indian,6220,10-19,Female,1,4,0.25,1.0
Indian,2151,10-19,Female,1,4,0.25,1.0
Indian,9318,10-19,Female,1,4,0.25,1.0
Indian,765,20-29,Male,0,4,0.0,1.0
Indian,1298,20-29,Male,0,4,0.0,1.0
Indian,1869,20-29,Male,0,4,0.0,1.0
Indian,10558,20-29,Male,0,4,0.0,1.0
Indian,1887,20-29,Male,0,4,0.0,1.0
Indian,9969,20-29,Female,0,4,0.0,1.0
Indian,8693,20-29,Female,0,4,0.0,1.0
Indian,5325,20-29,Female,0,4,0.0,1.0
Indian,7482,20-29,Female,0,4,0.0,1.0
Indian,1091,20-29,Female,0,4,0.0,1.0
Indian,6284,30-39,Male,0,4,0.0,1.0
Indian,6268,30-39,Male,0,4,0.0,1.0
Indian,9174,30-39,Male,0,4,0.0,1.0
Indian,7342,30-39,Male,0,4,0.0,1.0
Indian,8217,30-39,Male,0,4,0.0,1.0
Indian,5131,30-39,Female,0,4,0.0,1.0
Indian,10278,30-39,Female,0,4,0.0,1.0
Indian,117,30-39,Female,0,4,0.0,1.0
Indian,2089,30-39,Female,1,4,0.25,1.0
Indian,9964,30-39,Female,1,4,0.25,1.0
Indian,9418,40-49,Male,0,4,0.0,1.0
Indian,3143,40-49,Male,0,4,0.0,1.0
Indian,9940,40-49,Male,0,4,0.0,1.0
Indian,7897,40-49,Male,0,4,0.0,1.0
Indian,3947,40-49,Male,0,4,0.0,1.0
Indian,1965,40-49,Female,1,4,0.25,1.0
Indian,4203,40-49,Female,1,4,0.25,1.0
Indian,6533,40-49,Female,0,4,0.0,1.0
Indian,3015,40-49,Female,1,4,0.25,1.0
Indian,7177,40-49,Female,1,4,0.25,1.0
Indian,210,50-59,Male,1,4,0.25,1.0
Indian,5959,50-59,Male,1,4,0.25,1.0
Indian,10096,50-59,Male,0,4,0.0,1.0
Indian,3459,50-59,Male,0,4,0.0,1.0
Indian,2025,50-59,Male,0,4,0.0,1.0
Indian,10098,50-59,Female,2,4,0.5,1.0
Indian,7463,50-59,Female,1,4,0.25,1.0
Indian,4389,50-59,Female,1,4,0.25,1.0
Indian,9680,50-59,Female,1,4,0.25,1.0
Indian,6080,50-59,Female,1,4,0.25,1.0
Indian,9714,60-69,Male,1,4,0.25,1.0
Indian,3857,60-69,Male,0,4,0.0,1.0
Indian,3569,60-69,Male,0,4,0.0,1.0
Indian,6199,60-69,Male,1,4,0.25,1.0
Indian,3630,60-69,Male,0,4,0.0,1.0
Indian,8133,60-69,Female,0,4,0.0,1.0
Indian,7169,60-69,Female,0,4,0.0,1.0
Indian,600,60-69,Female,0,4,0.0,1.0
Indian,10518,60-69,Female,0,4,0.0,1.0
Indian,2832,60-69,Female,0,4,0.0,1.0
Indian,8006,70+,Male,1,4,0.25,1.0
Indian,3064,70+,Male,0,4,0.0,1.0
Indian,3116,70+,Male,0,4,0.0,1.0
Indian,6373,70+,Male,1,4,0.25,1.0
Indian,4189,70+,Male,0,4,0.0,1.0
Indian,4618,70+,Female,2,4,0.5,1.0
Indian,1590,70+,Female,2,4,0.5,1.0
Indian,10385,70+,Female,1,4,0.25,1.0
Indian,2148,70+,Female,1,4,0.25,1.0
Indian,10085,70+,Female,2,4,0.5,1.0
