race,index,age,gender,false_accepts,total_pairs,fsr,distance_threshold
Latino_Hispanic,6786,0-2,Male,4,4,1.0,1.0
Latino_Hispanic,10358,0-2,Male,3,4,0.75,1.0
Latino_Hispanic,1035,0-2,Male,3,4,0.75,1.0
Latino_Hispanic,8315,0-2,Male,1,4,0.25,1.0
Latino_Hispanic,4258,0-2,Male,3,4,0.75,1.0
Latino_Hispanic,9658,0-2,Female,1,4,0.25,1.0
Latino_Hispanic,6807,0-2,Female,2,4,0.5,1.0
Latino_Hispanic,2763,0-2,Female,0,4,0.0,1.0
Latino_Hispanic,2378,0-2,Female,1,4,0.25,1.0
Latino_Hispanic,10891,0-2,Female,0,4,0.0,1.0
Latino_Hispanic,6075,3-9,Male,0,4,0.0,1.0
Latino_Hispanic,9632,3-9,Male,1,4,0.25,1.0
Latino_Hispanic,7537,3-9,Male,0,4,0.0,1.0
Latino_Hispanic,9913,3-9,Male,0,4,0.0,1.0
Latino_Hispanic,5239,3-9,Male,1,4,0.25,1.0
Latino_Hispanic,324,3-9,Female,0,4,0.0,1.0
Latino_Hispanic,1906,3-9,Female,2,4,0.5,1.0
Latino_Hispanic,4259,3-9,Female,1,4,0.25,1.0
Latino_Hispanic,3108,3-9,Female,1,4,0.25,1.0
Latino_Hispanic,8187,3-9,Female,0,4,0.0,1.0
Latino_Hispanic,3890,10-19,Male,0,4,0.0,1.0
Latino_Hispanic,924,10-19,Male,0,4,0.0,1.0
Latino_Hispanic,1647,10-19,Male,0,4,0.0,1.0
Latino_Hispanic,8786,10-19,Male,0,4,0.0,1.0
Latino_Hispanic,6392,10-19,Male,0,4,0.0,1.0
Latino_Hispanic,3989,10-19,Female,0,4,0.0,1.0
Latino_Hispanic,8697,10-19,Female,0,4,0.0,1.0
Latino_Hispanic,9136,10-19,Female,0,4,0.0,1.0
Latino_Hispanic,3746,10-19,Female,0,4,0.0,1.0
Latino_Hispanic,5183,10-19,Female,0,4,0.0,1.0
Latino_Hispanic,9110,20-29,Male,0,4,0.0,1.0
Latino_Hispanic,7344,20-29,Male,0,4,0.0,1.0
Latino_Hispanic,2020,20-29,Male,0,4,0.0,1.0
Latino_Hispanic,5845,20-29,Male,0,4,0.0,1.0
Latino_Hispanic,8390,20-29,Male,0,4,0.0,1.0
Latino_Hispanic,1676,20-29,Female,0,4,0.0,1.0
Latino_Hispanic,2492,20-29,Female,0,4,0.0,1.0
Latino_Hispanic,544,20-29,Female,0,4,0.0,1.0
Latino_Hispanic,7302,20-29,Female,0,4,0.0,1.0
Latino_Hispanic,4517,20-29,Female,0,4,0.0,1.0
Latino_Hispanic,5,30-39,Male,0,4,0.0,1.0
Latino_Hispanic,8745,30-39,Male,0,4,0.0,1.0
Latino_Hispanic,8842,30-39,Male,0,4,0.0,1.0
Latino_Hispanic,10890,30-39,Male,0,4,0.0,1.0
Latino_Hispanic,3929,30-39,Male,0,4,0.0,1.0
Latino_Hispanic,5594,30-39,Female,0,4,0.0,1.0
Latino_Hispanic,6897,30-39,Female,0,4,0.0,1.0
Latino_Hispanic,1064,30-39,Female,0,4,0.0,1.0
Latino_Hispanic,5078,30-39,Female,0,4,0.0,1.0
Latino_Hispanic,10539,30-39,Female,0,4,0.0,1.0
Latino_Hispanic,7080,40-49,Male,0,4,0.0,1.0
Latino_Hispanic,2186,40-49,Male,0,4,0.0,1.0
Latino_Hispanic,6676,40-49,Male,0,4,0.0,1.0
Latino_Hispanic,10062,40-49,Male,0,4,0.0,1.0
Latino_Hispanic,7047,40-49,Male,0,4,0.0,1.0
Latino_Hispanic,8521,40-49,Female,0,4,0.0,1.0
Latino_Hispanic,4973,40-49,Female,2,4,0.5,1.0
Latino_Hispanic,3767,40-49,Female,0,4,0.0,1.0
Latino_Hispanic,4924,40-49,Female,2,4,0.5,1.0
Latino_Hispanic,8768,40-49,Female,2,4,0.5,1.0
Latino_Hispanic,6570,50-59,Male,0,4,0.0,1.0
Latino_Hispanic,10445,50-59,Male,0,4,0.0,1.0
Latino_Hispanic,3500,50-59,Male,0,4,0.0,1.0
Latino_Hispanic,4767,50-59,Male,0,4,0.0,1.0
Latino_Hispanic,8208,50-59,Male,0,4,0.0,1.0
Latino_Hispanic,9053,50-59,Female,1,4,0.25,1.0
Latino_Hispanic,5714,50-59,Female,0,4,0.0,1.0
Latino_Hispanic,9540,50-59,Female,0,4,0.0,1.0
Latino_Hispanic,10091,50-59,Female,0,4,0.0,1.0
Latino_Hispanic,2393,50-59,Female,1,4,0.25,1.0
Latino_Hispanic,7950,60-69,Male,0,4,0.0,1.0
Latino_Hispanic,7731,60-69,Male,0,4,0.0,1.0
Latino_Hispanic,3207,60-69,Male,0,4,0.0,1.0
Latino_Hispanic,5485,60-69,Male,0,4,0.0,1.0
Latino_Hispanic,7485,60-69,Male,0,4,0.0,1.0
Latino_Hispanic,1560,60-69,Female,0,4,0.0,1.0
Latino_Hispanic,5883,60-69,Female,0,4,0.0,1.0
Latino_Hispanic,3786,60-69,Female,0,4,0.0,1.0
Latino_Hispanic,2570,60-69,Female,0,4,0.0,1.0
Latino_Hispanic,4221,60-69,Female,0,4,0.0,1.0
Latino_Hispanic,724,70+,Male,0,0,0.0,1.0
Latino_Hispanic,5909,70+,Female,0,2,0.0,1.0
Latino_Hispanic,7405,70+,Female,0,2,0.0,1.0
Latino_Hispanic,10479,70+,Female,0,2,0.0,1.0
