pair_id,race,age,gender,image_A_index,image_B_index,image_A_age,image_A_gender,image_B_age,image_B_gender,baseline_distance,baseline_is_false_accept,distance_threshold
Latino_Hispanic_000000,Latino_Hispanic,0-2,Male,6786,10358,0-2,Male,0-2,Male,0.65893835,True,1.0
Latino_Hispanic_000001,Latino_Hispanic,0-2,Male,6786,1035,0-2,Male,0-2,Male,0.7506043,True,1.0
Latino_Hispanic_000002,Latino_Hispanic,0-2,Male,6786,8315,0-2,Male,0-2,Male,0.88402116,True,1.0
Latino_Hispanic_000003,Latino_Hispanic,0-2,Male,6786,4258,0-2,Male,0-2,Male,0.63987166,True,1.0
Latino_Hispanic_000004,Latino_Hispanic,0-2,Male,10358,1035,0-2,Male,0-2,Male,0.8041867,True,1.0
Latino_Hispanic_000005,Latino_Hispanic,0-2,Male,10358,8315,0-2,Male,0-2,Male,1.0395576,False,1.0
Latino_Hispanic_000006,Latino_Hispanic,0-2,Male,10358,4258,0-2,Male,0-2,Male,0.21075961,True,1.0
Latino_Hispanic_000007,Latino_Hispanic,0-2,Male,1035,8315,0-2,Male,0-2,Male,1.265447,False,1.0
Latino_Hispanic_000008,Latino_Hispanic,0-2,Male,1035,4258,0-2,Male,0-2,Male,0.7450861,True,1.0
Latino_Hispanic_000009,Latino_Hispanic,0-2,Male,8315,4258,0-2,Male,0-2,Male,1.1827061,False,1.0
Latino_Hispanic_000010,Latino_Hispanic,0-2,Female,9658,6807,0-2,Female,0-2,Female,0.98878574,True,1.0
Latino_Hispanic_000011,Latino_Hispanic,0-2,Female,9658,2763,0-2,Female,0-2,Female,1.6944203,False,1.0
Latino_Hispanic_000012,Latino_Hispanic,0-2,Female,9658,2378,0-2,Female,0-2,Female,1.0131807,False,1.0
Latino_Hispanic_000013,Latino_Hispanic,0-2,Female,9658,10891,0-2,Female,0-2,Female,1.3721557,False,1.0
Latino_Hispanic_000014,Latino_Hispanic,0-2,Female,6807,2763,0-2,Female,0-2,Female,2.0177624,False,1.0
Latino_Hispanic_000015,Latino_Hispanic,0-2,Female,6807,2378,0-2,Female,0-2,Female,0.622825,True,1.0
Latino_Hispanic_000016,Latino_Hispanic,0-2,Female,6807,10891,0-2,Female,0-2,Female,1.7101517,False,1.0
Latino_Hispanic_000017,Latino_Hispanic,0-2,Female,2763,2378,0-2,Female,0-2,Female,1.8453848,False,1.0
Latino_Hispanic_000018,Latino_Hispanic,0-2,Female,2763,10891,0-2,Female,0-2,Female,2.2133427,False,1.0
Latino_Hispanic_000019,Latino_Hispanic,0-2,Female,2378,10891,0-2,Female,0-2,Female,1.450389,False,1.0
Latino_Hispanic_000020,Latino_Hispanic,3-9,Male,6075,9632,3-9,Male,3-9,Male,1.8106977,False,1.0
Latino_Hispanic_000021,Latino_Hispanic,3-9,Male,6075,7537,3-9,Male,3-9,Male,1.8920515,False,1.0
Latino_Hispanic_000022,Latino_Hispanic,3-9,Male,6075,9913,3-9,Male,3-9,Male,1.4204899,False,1.0
Latino_Hispanic_000023,Latino_Hispanic,3-9,Male,6075,5239,3-9,Male,3-9,Male,1.965252,False,1.0
Latino_Hispanic_000024,Latino_Hispanic,3-9,Male,9632,7537,3-9,Male,3-9,Male,1.047427,False,1.0
Latino_Hispanic_000025,Latino_Hispanic,3-9,Male,9632,9913,3-9,Male,3-9,Male,1.1134646,False,1.0
Latino_Hispanic_000026,Latino_Hispanic,3-9,Male,9632,5239,3-9,Male,3-9,Male,0.84541297,True,1.0
Latino_Hispanic_000027,Latino_Hispanic,3-9,Male,7537,9913,3-9,Male,3-9,Male,1.3082172,False,1.0
Latino_Hispanic_000028,Latino_Hispanic,3-9,Male,7537,5239,3-9,Male,3-9,Male,1.1640224,False,1.0
Latino_Hispanic_000029,Latino_Hispanic,3-9,Male,9913,5239,3-9,Male,3-9,Male,1.260785,False,1.0
Latino_Hispanic_000030,Latino_Hispanic,3-9,Female,324,1906,3-9,Female,3-9,Female,1.4380978,False,1.0
