pair_id,race,age,gender,image_A_index,image_B_index,image_A_age,image_A_gender,image_B_age,image_B_gender,baseline_distance,baseline_is_false_accept,distance_threshold
Southeast_Asian_000000,Southeast_Asian,0-2,Male,10782,6755,0-2,Male,0-2,Male,0.58644265,True,1.0
Southeast_Asian_000001,Southeast_Asian,0-2,Male,10782,8381,0-2,Male,0-2,Male,0.58195853,True,1.0
Southeast_Asian_000002,Southeast_Asian,0-2,Male,10782,9288,0-2,Male,0-2,Male,0.75676256,True,1.0
Southeast_Asian_000003,Southeast_Asian,0-2,Male,10782,5020,0-2,Male,0-2,Male,0.59544337,True,1.0
Southeast_Asian_000004,Southeast_Asian,0-2,Male,6755,8381,0-2,Male,0-2,Male,0.90248275,True,1.0
Southeast_Asian_000005,Southeast_Asian,0-2,Male,6755,9288,0-2,Male,0-2,Male,1.136139,False,1.0
Southeast_Asian_000006,Southeast_Asian,0-2,Male,6755,5020,0-2,Male,0-2,Male,0.99678516,True,1.0
Southeast_Asian_000007,Southeast_Asian,0-2,Male,8381,9288,0-2,Male,0-2,Male,0.74414414,True,1.0
Southeast_Asian_000008,Southeast_Asian,0-2,Male,8381,5020,0-2,Male,0-2,Male,0.77747905,True,1.0
Southeast_Asian_000009,Southeast_Asian,0-2,Male,9288,5020,0-2,Male,0-2,Male,0.87396383,True,1.0
Southeast_Asian_000010,Southeast_Asian,0-2,Female,8212,3808,0-2,Female,0-2,Female,1.0559585,False,1.0
Southeast_Asian_000011,Southeast_Asian,0-2,Female,8212,8022,0-2,Female,0-2,Female,0.69097555,True,1.0
Southeast_Asian_000012,Southeast_Asian,0-2,Female,8212,5971,0-2,Female,0-2,Female,0.8059894,True,1.0
Southeast_Asian_000013,Southeast_Asian,0-2,Female,8212,2447,0-2,Female,0-2,Female,0.9988825,True,1.0
Southeast_Asian_000014,Southeast_Asian,0-2,Female,3808,8022,0-2,Female,0-2,Female,0.97679734,True,1.0
Southeast_Asian_000015,Southeast_Asian,0-2,Female,3808,5971,0-2,Female,0-2,Female,0.81086975,True,1.0
Southeast_Asian_000016,Southeast_Asian,0-2,Female,3808,2447,0-2,Female,0-2,Female,0.96057856,True,1.0
Southeast_Asian_000017,Southeast_Asian,0-2,Female,8022,5971,0-2,Female,0-2,Female,0.8379208,True,1.0
Southeast_Asian_000018,Southeast_Asian,0-2,Female,8022,2447,0-2,Female,0-2,Female,0.89061177,True,1.0
Southeast_Asian_000019,Southeast_Asian,0-2,Female,5971,2447,0-2,Female,0-2,Female,0.86228883,True,1.0
Southeast_Asian_000020,Southeast_Asian,3-9,Male,7694,1106,3-9,Male,3-9,Male,1.3829191,False,1.0
Southeast_Asian_000021,Southeast_Asian,3-9,Male,7694,2969,3-9,Male,3-9,Male,1.2073852,False,1.0
Southeast_Asian_000022,Southeast_Asian,3-9,Male,7694,6034,3-9,Male,3-9,Male,1.2096951,False,1.0
Southeast_Asian_000023,Southeast_Asian,3-9,Male,7694,7545,3-9,Male,3-9,Male,0.9998662,True,1.0
Southeast_Asian_000024,Southeast_Asian,3-9,Male,1106,2969,3-9,Male,3-9,Male,1.17365,False,1.0
Southeast_Asian_000025,Southeast_Asian,3-9,Male,1106,6034,3-9,Male,3-9,Male,0.8333717,True,1.0
Southeast_Asian_000026,Southeast_Asian,3-9,Male,1106,7545,3-9,Male,3-9,Male,1.0025728,False,1.0
Southeast_Asian_000027,Southeast_Asian,3-9,Male,2969,6034,3-9,Male,3-9,Male,0.77081597,True,1.0
Southeast_Asian_000028,Southeast_Asian,3-9,Male,2969,7545,3-9,Male,3-9,Male,0.75178796,True,1.0
Southeast_Asian_000029,Southeast_Asian,3-9,Male,6034,7545,3-9,Male,3-9,Male,1.0423468,False,1.0
Southeast_Asian_000030,Southeast_Asian,3-9,Female,8571,4170,3-9,Female,3-9,Female,1.1588881,False,1.0
Southeast_Asian_000031,Southeast_Asian,3-9,Female,8571,1564,3-9,Female,3-9,Female,1.2591561,False,1.0
Southeast_Asian_000032,Southeast_Asian,3-9,Female,8571,3151,3-9,Female,3-9,Female,1.5817244,False,1.0
Southeast_Asian_000033,Southeast_Asian,3-9,Female,8571,10065,3-9,Female,3-9,Female,1.1415576,False,1.0
Southeast_Asian_000034,Southeast_Asian,3-9,Female,4170,1564,3-9,Female,3-9,Female,1.4693204,False,1.0
Southeast_Asian_000035,Southeast_Asian,3-9,Female,4170,3151,3-9,Female,3-9,Female,0.85912615,True,1.0
Southeast_Asian_000036,Southeast_Asian,3-9,Female,4170,10065,3-9,Female,3-9,Female,0.38324088,True,1.0
Southeast_Asian_000037,Southeast_Asian,3-9,Female,1564,3151,3-9,Female,3-9,Female,1.5400953,False,1.0
Southeast_Asian_000038,Southeast_Asian,3-9,Female,1564,10065,3-9,Female,3-9,Female,1.5306998,False,1.0
Southeast_Asian_000039,Southeast_Asian,3-9,Female,3151,10065,3-9,Female,3-9,Female,1.0823017,False,1.0
Southeast_Asian_000040,Southeast_Asian,10-19,Male,4263,3204,10-19,Male,10-19,Male,1.7765546,False,1.0
Southeast_Asian_000041,Southeast_Asian,10-19,Male,4263,2849,10-19,Male,10-19,Male,0.969409,True,1.0
Southeast_Asian_000042,Southeast_Asian,10-19,Male,4263,2368,10-19,Male,10-19,Male,1.4226904,False,1.0
Southeast_Asian_000043,Southeast_Asian,10-19,Male,4263,494,10-19,Male,10-19,Male,1.31343,False,1.0
Southeast_Asian_000044,Southeast_Asian,10-19,Male,3204,2849,10-19,Male,10-19,Male,1.624545,False,1.0
Southeast_Asian_000045,Southeast_Asian,10-19,Male,3204,2368,10-19,Male,10-19,Male,1.5717311,False,1.0
Southeast_Asian_000046,Southeast_Asian,10-19,Male,3204,494,10-19,Male,10-19,Male,1.1494274,False,1.0
Southeast_Asian_000047,Southeast_Asian,10-19,Male,2849,2368,10-19,Male,10-19,Male,1.3849667,False,1.0
Southeast_Asian_000048,Southeast_Asian,10-19,Male,2849,494,10-19,Male,10-19,Male,0.92963606,True,1.0
Southeast_Asian_000049,Southeast_Asian,10-19,Male,2368,494,10-19,Male,10-19,Male,1.4091823,False,1.0
Southeast_Asian_000050,Southeast_Asian,10-19,Female,802,4705,10-19,Female,10-19,Female,1.2628901,False,1.0
Southeast_Asian_000051,Southeast_Asian,10-19,Female,802,8070,10-19,Female,10-19,Female,0.3079621,True,1.0
Southeast_Asian_000052,Southeast_Asian,10-19,Female,802,10194,10-19,Female,10-19,Female,0.98283803,True,1.0
Southeast_Asian_000053,Southeast_Asian,10-19,Female,802,1900,10-19,Female,10-19,Female,1.3452173,False,1.0
Southeast_Asian_000054,Southeast_Asian,10-19,Female,4705,8070,10-19,Female,10-19,Female,1.1864148,False,1.0
