race,index,age,gender,false_accepts,total_pairs,fsr,distance_threshold
White,10855,0-2,Male,3,4,0.75,1.0
White,44,0-2,Male,3,4,0.75,1.0
White,794,0-2,Male,4,4,1.0,1.0
White,10651,0-2,Male,2,4,0.5,1.0
White,2851,0-2,Male,4,4,1.0,1.0
White,2334,0-2,Female,3,4,0.75,1.0
White,6617,0-2,Female,3,4,0.75,1.0
White,3392,0-2,Female,3,4,0.75,1.0
White,8176,0-2,Female,0,4,0.0,1.0
White,2103,0-2,Female,3,4,0.75,1.0
White,6543,3-9,Male,1,4,0.25,1.0
White,1016,3-9,Male,1,4,0.25,1.0
White,3050,3-9,Male,0,4,0.0,1.0
White,6330,3-9,Male,0,4,0.0,1.0
White,476,3-9,Male,0,4,0.0,1.0
White,4904,3-9,Female,0,4,0.0,1.0
White,3444,3-9,Female,0,4,0.0,1.0
White,6349,3-9,Female,0,4,0.0,1.0
White,3901,3-9,Female,0,4,0.0,1.0
White,5779,3-9,Female,0,4,0.0,1.0
White,10239,10-19,Male,0,4,0.0,1.0
White,8837,10-19,Male,0,4,0.0,1.0
White,2460,10-19,Male,0,4,0.0,1.0
White,3066,10-19,Male,0,4,0.0,1.0
White,5439,10-19,Male,0,4,0.0,1.0
White,2885,10-19,Female,0,4,0.0,1.0
White,659,10-19,Female,0,4,0.0,1.0
White,9463,10-19,Female,0,4,0.0,1.0
White,8672,10-19,Female,0,4,0.0,1.0
White,5446,10-19,Female,0,4,0.0,1.0
White,1419,20-29,Male,0,4,0.0,1.0
White,1324,20-29,Male,0,4,0.0,1.0
White,9437,20-29,Male,0,4,0.0,1.0
White,9927,20-29,Male,0,4,0.0,1.0
White,10506,20-29,Male,0,4,0.0,1.0
White,2323,20-29,Female,0,4,0.0,1.0
White,967,20-29,Female,0,4,0.0,1.0
White,7836,20-29,Female,0,4,0.0,1.0
White,1258,20-29,Female,0,4,0.0,1.0
White,2924,20-29,Female,0,4,0.0,1.0
White,1388,30-39,Male,0,4,0.0,1.0
White,1385,30-39,Male,0,4,0.0,1.0
White,4794,30-39,Male,0,4,0.0,1.0
White,8349,30-39,Male,0,4,0.0,1.0
White,2517,30-39,Male,0,4,0.0,1.0
White,7400,30-39,Female,0,4,0.0,1.0
White,2947,30-39,Female,0,4,0.0,1.0
White,7533,30-39,Female,0,4,0.0,1.0
White,7685,30-39,Female,0,4,0.0,1.0
White,626,30-39,Female,0,4,0.0,1.0
White,9724,40-49,Male,0,4,0.0,1.0
White,1434,40-49,Male,0,4,0.0,1.0
White,6825,40-49,Male,0,4,0.0,1.0
White,10856,40-49,Male,0,4,0.0,1.0
White,9290,40-49,Male,0,4,0.0,1.0
White,9089,40-49,Female,1,4,0.25,1.0
White,8480,40-49,Female,0,4,0.0,1.0
White,6099,40-49,Female,0,4,0.0,1.0
White,4889,40-49,Female,1,4,0.25,1.0
White,3817,40-49,Female,0,4,0.0,1.0
White,6820,50-59,Male,0,4,0.0,1.0
White,5216,50-59,Male,0,4,0.0,1.0
White,6008,50-59,Male,0,4,0.0,1.0
White,8727,50-59,Male,0,4,0.0,1.0
White,2907,50-59,Male,0,4,0.0,1.0
White,5712,50-59,Female,0,4,0.0,1.0
White,9366,50-59,Female,0,4,0.0,1.0
White,5974,50-59,Female,0,4,0.0,1.0
White,1259,50-59,Female,0,4,0.0,1.0
White,322,50-59,Female,0,4,0.0,1.0
White,5695,60-69,Male,0,4,0.0,1.0
White,8046,60-69,Male,0,4,0.0,1.0
White,6927,60-69,Male,0,4,0.0,1.0
White,1646,60-69,Male,0,4,0.0,1.0
White,1575,60-69,Male,0,4,0.0,1.0
White,10443,60-69,Female,0,4,0.0,1.0
White,4165,60-69,Female,0,4,0.0,1.0
White,10010,60-69,Female,0,4,0.0,1.0
White,5436,60-69,Female,0,4,0.0,1.0
White,2601,60-69,Female,0,4,0.0,1.0
White,9010,70+,Male,0,4,0.0,1.0
White,5556,70+,Male,0,4,0.0,1.0
White,1866,70+,Male,0,4,0.0,1.0
White,3932,70+,Male,0,4,0.0,1.0
White,8980,70+,Male,0,4,0.0,1.0
White,4099,70+,Female,0,4,0.0,1.0
White,3262,70+,Female,0,4,0.0,1.0
White,5448,70+,Female,0,4,0.0,1.0
White,10923,70+,Female,0,4,0.0,1.0
White,7092,70+,Female,0,4,0.0,1.0
