group,fsr_mean,fsr_std,fsr_min,fsr_max,total_images
Overall,0.22061191626409019,0.30724101990031627,0.0,1.0,621
East_Asian,0.4444444444444444,0.33473488121067707,0.0,1.0,90
Indian,0.23333333333333334,0.3131033501340548,0.0,1.0,90
Black,0.23333333333333334,0.2946145834967929,0.0,1.0,90
White,0.08888888888888889,0.24087595037832585,0.0,1.0,90
Middle_Eastern,0.13793103448275862,0.2795309107633236,0.0,1.0,87
Latino_Hispanic,0.09523809523809523,0.21221991429939802,0.0,1.0,84
Southeast_Asian,0.3,0.29793295377285844,0.0,1.0,90
Male,0.21543408360128619,0.31142708150163373,0.0,1.0,311
Female,0.22580645161290322,0.3033979538573784,0.0,1.0,310
